Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Andrews P.","",[No title available],1990,"Owls, Caves and Fossils",,,,"","",,916,,2-s2.0-0003481581
"Aulagnier S.","","Les Crocidures (Insectivora) du Maroc septentrional : biométrie, systématique",1987,"Bull. Inst. Sci. Rabat","11",,,"193","204",,8,,2-s2.0-0041194178
"Aulagnier S., Thévenot M.","","Catalogue des mammifères sauvages du Maroc",1986,"Trav. Inst. Sci. Rabat, Sér. Zool.","41",,,"1","164",,81,,2-s2.0-0001809011
"Badyaev A.V., Foresman K.R.","7004919925;6603298924;","Evolution of morphological integration. I. Functional units channel stress-induced variation in shrew mandibles",2004,"American Naturalist","163","6",,"868","879",,57,"10.1086/386551",2-s2.0-3042810120
"Baylac M., Friess M.","","Fourier descriptors, Procrustes superimposition, and data dimensionality: An example of cranial shape analysis in modern human populations",2005,"Modern Morphometrics in Physical Anthropology",,,,"145","165",,90,,2-s2.0-14744301944
"Baylac M.","","Rmorph: A R geometric and multivariate morphometrics library.",2012,"Rmorph: A R Geometric and Multivariate Morphometrics Library",,,,"","",,57,,2-s2.0-55349130219
"Bignon O., Baylac M., Vigne J.-D., Eisenmann V.","15135083300;6701570331;7006603465;6701396464;","Geometric morphometrics and the population diversity of Late Glacial horses in Western Europe (Equus caballus arcelini): Phylogeographic and anthropological implications",2005,"Journal of Archaeological Science","32","3",,"375","391",,37,"10.1016/j.jas.2004.02.016",2-s2.0-14744301135
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8",2-s2.0-0031107378
"Bookstein F.L., Streissguth A.P., Sampson P.D., Connor P.D., Barr H.M.","7004606384;7006860322;7005197669;7005280108;7102182355;","Corpus callosum shape and neuropsychological deficits in adult males with heavy fetal alcohol exposure",2002,"NeuroImage","15","1",,"233","251",,226,"10.1006/nimg.2001.0977",2-s2.0-0036322710
"BUTLER P.M., GREENWOOD M.","7201399060;24378514500;","Soricidae (Mammalia) from the Early Pleistocene of Olduvai Gorge, Tanzania",1979,"Zoological Journal of the Linnean Society","67","4",,"329","379",,19,"10.1111/j.1096-3642.1979.tb01119.x",2-s2.0-0000062483
"Cornette R.","",[No title available],2011,"Forme et function : modularité, disparité et performance de l'appareil manducateur de Crocidura russula (Soricomorpha, Soricidae)",,,,"","",,2,,2-s2.0-84911035672
"Cornette R., Herrel A., Cosson J.-F., Poitevin F., Baylac M.","6506350460;7004374986;7005908632;6506565638;6701570331;","Rapid morpho-functional changes among insular populations of the greater white-toothed shrew",2012,"Biological Journal of the Linnean Society","107","2",,"322","331",,17,"10.1111/j.1095-8312.2012.01934.x",2-s2.0-84866326784
"Cornette R., Baylac M., Souter T., Herrel A.","6506350460;6701570331;36549247200;7004374986;","Does shape co-variation between the skull and the mandible have functional consequences? A 3D approach for a 3D problem",2013,"Journal of Anatomy","223","4",,"329","336",,32,"10.1111/joa.12086",2-s2.0-84884207131
"Cornette R., Tresset A., Houssin C., Pascal M., Herrel A.","6506350460;6506727552;6602414547;7101622903;7004374986;","Does bite force provide a competitive advantage in shrews? The case of the greater white-toothed shrew",2015,"Biological Journal of the Linnean Society","114","4",,"795","807",,10,"10.1111/bij.12423",2-s2.0-84924540595
"Couette S., White J.","8713706300;26868302700;","3D geometric morphometrics and missing-data. Can extant taxa give clues for the analysis of fossil primates? [Morphométrie géométrique 3D et données manquantes. Les taxons actuels peuvent-ils nous donner des indications pour étudier les primates fossiles ?]",2010,"Comptes Rendus - Palevol","9","6-7",,"423","433",,16,"10.1016/j.crpv.2010.07.002",2-s2.0-78649444758
