Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Albarella U., Payne S.","8267110000;8313487400;","Neolithic pigs from Durrington Walls, Wiltshire, England: A biometrical database",2005,"Journal of Archaeological Science","32","4",,"589","599",,48,"10.1016/j.jas.2004.11.008",2-s2.0-14744285834
"Albarella U., Davis S.J.M., Detry C., Rowley-Conwy P.","","Pigs of the 'Far West': The biometry of Sus from archaeological sites in Portugal",2005,"Anthropozoologica","40","2",,"27","54",,29,,2-s2.0-34848926732
"Albarella U., Dobney K., Rowley-Conwy P.","8267110000;6602595568;57204378841;","The domestication of the pig (Sus scrofa): New challenges and approaches",2006,"Documenting Domestication: New Genetic and Archaeological Paradigms",,,,"209","227",,57,,2-s2.0-33344463368
"Albarella U., Dobney K., Rowley-Conwy P.","8267110000;6602595568;57204378841;","Size and shape of the Eurasian wild boar (Sus scrofa), with a view to the reconstruction of its Holocene history",2009,"Environmental Archaeology","14","2",,"103","136",,45,"10.1179/146141009X12481709928283",2-s2.0-73949130124
"Aulagnier S., Haffner P., Mitchell-Jones A.J., Moutou F., Zima J.","","Guide des Mammifères d'Europe, d'Afrique du Nord et du Moyen-Orient",2008,"Guide des Mammifères d'Europe, d'Afrique du Nord et du Moyen-Orient",,,,"","",,42,,2-s2.0-77749250114
"Bull G., Payne S.","","Tooth eruption and epiphysial fusion in pigs and wild boar",1982,"Ageing and Sexing Animal Bones from Archaeological Sites","109",,,"55","71",,86,,2-s2.0-0007828178
"Chambers J.M., Cleveland W.S., Kleiner B., Tukey P.A.","",[No title available],1983,"Graphical Methods for Data Analysis",,,,"","",,2074,,2-s2.0-0003780340
"Cucchi T., Fujita M., Dobney K.","6506822509;18041913000;6602595568;","New insights into pig taxonomy, domestication and human dispersal in Island South East Asia: Molar shape analysis of Sus remains from Niah Caves, Sarawak",2009,"International Journal of Osteoarchaeology","19","4",,"508","530",,55,"10.1002/oa.974",2-s2.0-70349639859
"Cucchi T., Hulme-Beaman A., Yuan J., Dobney K.","6506822509;36627224600;56988201600;6602595568;","Early Neolithic pig domestication at Jiahu, Henan Province, China: Clues from molar shape analyses using geometric morphometric approaches",2011,"Journal of Archaeological Science","38","1",,"11","22",,79,"10.1016/j.jas.2010.07.024",2-s2.0-78049286754
"Darwin C.","",[No title available],1868,"The Variation of Animals and Plants under Domestication",,,,"","",,1501,,2-s2.0-0003696589
