Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Collyer M.L.","7404054540;57074630100;","Analysis of character divergence along environmental gradients and other covariates",2007,"Evolution","61","3",,"510","515",,67,"10.1111/j.1558-5646.2007.00063.x",2-s2.0-33846967066
"Adams D.C., Collyer M.L.","7404054540;57074630100;","A general framework for the analysis of phenotypic trajectories in evolutionary studies",2009,"Evolution","63","5",,"1143","1154",,144,"10.1111/j.1558-5646.2009.00649.x",2-s2.0-64749098726
"Adams D.C., Collyer M.L.","7404054540;57074630100;","Permutation tests for phylogenetic comparative analyses of high-dimensional shape data: What you shuffle matters",2015,"Evolution","69","3",,"823","829",,42,"10.1111/evo.12596",2-s2.0-84924855024
"Adams D.C., Collyer M.L.","7404054540;57074630100;","On the comparison of the strength of morphological integration across morphometric datasets",2016,"Evolution","70","11",,"2623","2631",,41,"10.1111/evo.13045",2-s2.0-85015591401
"Adams D.C., Collyer M., Kaliontzopoulou A., Sherratt E.","","Geomorph: geometric morphometric analyses of 2D/3D landmark data",2016,"Geomorph: geometric morphometric analyses of 2D/3D landmark data",,,,"","",,29,,2-s2.0-84992120381
"Adams D.C., Nistri A.","7404054540;36238329500;","Ontogenetic convergence and evolution of foot morphology in European cave salamanders (Family: Plethodontidae)",2010,"BMC Evolutionary Biology","10","1", 216,"","",,102,"10.1186/1471-2148-10-216",2-s2.0-77954556330
"Adams D.C., Otárola-Castillo E.","7404054540;25629989200;","Geomorph: An r package for the collection and analysis of geometric morphometric shape data",2013,"Methods in Ecology and Evolution","4","4",,"393","399",,795,"10.1111/2041-210X.12035",2-s2.0-84875761771
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","A field comes of age: Geometric morphometrics in the 21st century",2013,"Hystrix","24","1",,"","",,304,"10.4404/hystrix-24.1-6283",2-s2.0-84875767161
"Anderson M.J., Ter Braak C.J.F.","57203331728;35551536200;","Permutation tests for multi-factorial analysis of variance",2003,"Journal of Statistical Computation and Simulation","73","2",,"85","113",,615,"10.1080/00949650215733",2-s2.0-0037319490
"Anderson W.P.","","The beginnings of Phoenician pottery; vessel shape, style, and ceramic technology in the early phase of the Phoenician Iron Age",1990,"Bulletin of the American Schools of Oriental Research","279",,,"35","54",,9,,2-s2.0-70849091679
"Archer W., Braun D.R.","35085743300;23972180300;","Variability in bifacial technology at Elandsfontein, Western cape, South Africa: a geometric morphometric approach",2010,"Journal of Archaeological Science","37","1",,"201","209",,74,"10.1016/j.jas.2009.09.033",2-s2.0-70350780084
"Archer W., Gunz P., Van Niekerk K.L., Henshilwood C.S., McPherron S.P.","35085743300;6506472733;55618288400;6603544431;6506777264;","Diachronic change within the Still Bay at Blombos Cave, South Africa",2015,"PLoS ONE","10","7", e0132428,"","",,23,"10.1371/journal.pone.0132428",2-s2.0-84940055265
