Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Beck C., Jones G.T.","7402419204;7406142323;","Clovis and western stemmed: Population migration and the meeting of two technologies in the intermountain west",2010,"American Antiquity","75","1",,"81","116",,139,"10.7183/0002-7316.75.1.81",2-s2.0-77749341369
"Bradbury A.P., Carr P.J.","","A Method for Quantifying Size and Shape of Hafted Bifaces",2003,"Lithic Analysis at the Millennium",,,,"173","188",,6,,2-s2.0-49349105127
"Brauner D.R.","","Early Human Occupation in the Uplands of the Southern Plateau: Archaeological Excavations at the Pilcher Creek Site (35UN147), Union County, Oregon",1985,"Report of the Department of Anthropology",,,,"","",,2,,2-s2.0-84997131944
"Clopton R.E.","6701746430;","Standard nomenclature and metrics of plane shapes for use in gregarine taxonomy",2004,"Comparative Parasitology","71","2",,"130","140",,111,"10.1654/4151",2-s2.0-3543038862
"Crompton S.","",[No title available],2007,"3D Lithic Analysis",,,,"","",,1,,2-s2.0-84937066286
"Davis L.G., Nyers A.J., Willis S.C.","7403144732;56538453400;9633189000;","Context, provenance and technology of a Western Stemmed Tradition artifact cache from the Cooper's Ferry Site, Idaho",2014,"American Antiquity","79","4",,"596","615",,18,"10.7183/0002-7316.79.4.596",2-s2.0-84924187986
"Davis L.G., Schweger C.E.","7403144732;6701320285;","Geoarchaeological context of Late Pleistocene and Early Holocene occupation at the Cooper's Ferry Site, Western Idaho, USA",2004,"Geoarchaeology","19","7",,"685","704",,29,"10.1002/gea.20020",2-s2.0-7244223249
"Dryden I.L., Mardia K.V.","",[No title available],1998,"Statistical Shape Analysis",,,,"","",,2639,,2-s2.0-0003489720
"Elewa A.M.T.","","Morphometrics for Nonmorphometricians. Lecture Notes in Earth Sciences",2010,"Morphometrics for Nonmorphometricians",,,,"","",,35,,2-s2.0-79955381930
"Grosman L., Smikt O., Smilansky U.","25636007900;24492599300;7003922083;","On the application of 3-D scanning technology for the documentation and typology of lithic artifacts",2008,"Journal of Archaeological Science","35","12",,"3101","3110",,79,"10.1016/j.jas.2008.06.011",2-s2.0-51249089236
"Jombart T., Devillard S., Balloux F.","24331843100;6506463429;6701693410;","Discriminant analysis of principal components: A new method for the analysis of genetically structured populations",2010,"BMC Genetics","11",, 94,"","",,1724,"10.1186/1471-2156-11-94",2-s2.0-77957919360
"Klingenberg C.P.","7004588456;","MorphoJ: An integrated software package for geometric morphometrics",2011,"Molecular Ecology Resources","11","2",,"353","357",,1766,"10.1111/j.1755-0998.2010.02924.x",2-s2.0-78650839801
"Kuehn S.C., Froese D.G., Carrara P.E., Foit Jr. F.F., Pearce N.J.G., Rotheisler P.","12773639600;6603371267;7003807494;6701325361;7101772426;37047742900;","Major- and trace-element characterization, expanded distribution, and a new chronology for the latest Pleistocene Glacier Peak tephras in western North America",2009,"Quaternary Research","71","2",,"201","216",,65,"10.1016/j.yqres.2008.11.003",2-s2.0-60249087642
"Lycett S.J., Von Cramon-Taubadel N.","9434693200;23471109300;","A 3D morphometric analysis of surface geometry in Levallois cores: Patterns of stability and variability across regions and their implications",2013,"Journal of Archaeological Science","40","3",,"1508","1517",,39,"10.1016/j.jas.2012.11.005",2-s2.0-84871442389
"Lycett S.J., Cramon-Taubadel N.v., Gowlett J.A.J.","9434693200;23471109300;6603228354;","A comparative 3D geometric morphometric analysis of Victoria West cores: implications for the origins of Levallois technology",2010,"Journal of Archaeological Science","37","5",,"1110","1117",,57,"10.1016/j.jas.2009.12.011",2-s2.0-77649192918
"Mehringer Jr P.J., Foit Jr F.F.","6602619485;6701325361;","Volcanic ash dating of the Clovis Cache at East Wenatchee, Washington",1990,"National Geographic Research","6","4",,"495","503",,49,,2-s2.0-0025660340
"Polly P.D., Killick L., Ruddy M.","9841533000;54787746600;54788389500;","Using left-right asymmetry to estimate non-genetic variation in vole teeth (Arvicolinae, Muridae, Rodentia)",2011,"Palaeontologia Electronica","14","3",,"26","",,5,,2-s2.0-84055188772
"Shott M.","6602942184;","Digitizing archaeology: A subtle revolution in analysis",2014,"World Archaeology","46","1",,"1","9",,13,"10.1080/00438243.2013.879046",2-s2.0-84899118961
"Shott M., Trail B.","","Exploring New Approaches to Lithic Analysis: Laser Scanning and Geometric Morphometrics",2010,"Lithic Technology","35","2",,"195","220",,41,,2-s2.0-84857114130
"Shott M.J., Trail B.W.","","New developments in lithic analysis",2012,"The SAA Archaeological Record","12","3",,"12","17",,10,,2-s2.0-84891854016
