Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"AUFFRAY J.‐C., VANLERBERGHE F., BRITTON‐DAVIDIAN J.","7007054202;6602999287;7003601082;","The house mouse progression in Eurasia: a palaeontological and archaeozoological approach",1990,"Biological Journal of the Linnean Society","41","1-3",,"13","25",,107,"10.1111/j.1095-8312.1990.tb00818.x",2-s2.0-0025675195
"Auffray J.-C., Tchernov E., Bonhomme F., Heth G., Simson S., Nevo E.","","Presence and ecological distribution of Mus ""spretoides"" and Mus musculus domesticus in Israel. Circum-Mediterranean vicariance in the genus Mus",1990,"Z. Säugetierk.","55",,,"1","10",,46,,2-s2.0-0002831657
"Adler G.H., Levins R.","7201723435;7004131886;","The island syndrome in rodent populations",1994,"Quarterly Review of Biology","69","4",,"473","490",,315,"10.1086/418744",2-s2.0-0028675308
"Boursot P., Din W., Anand R., Darviche D., Dod B., Von Deimling F., Talwar G.P., Bonhomme F.","7004307542;6603599171;57200771763;6507316675;6603640184;6506328860;57213136354;7005744319;","Origin and radiation of the house mouse: Mitochondrial DNA phylogeny",1996,"Journal of Evolutionary Biology","9","4",,"391","415",,143,"10.1046/j.1420-9101.1996.9040391.x",2-s2.0-0029659472
"Baker A.E.M.","","Stowaway transport rates of house mice (Mus domesticus) and deermice (Peromyscus maniculatus)",1994,"Proceedings of the 16th Vertebrate Pest Conference",,,,"106","112",,11,,2-s2.0-0001512629
"Bass G.F., Pulak C., Collon D., Weinstein J.","","The Bronze Age shipwreck at Ulu Burun: 1986 campaign",1989,"American Journal of Archaeology","93","1",,"1","29",,42,,2-s2.0-0002082115
"Bass G.F.","","Cape Gelidonya: A Bronze Age Shipwreck",1967,"Transactions of the American Philosophical Society","57","8",,"1","177",,129,,2-s2.0-0039535485
"Bass G.F.","","Cape Gelidonya and Bronze Age Maritime Trade",1973,"Orient and Occident",,,,"29","38",,16,,2-s2.0-49849098240
"Bonhomme F., Catalan J., Gerasimov S., Orsini P., Thaler L.","","Le complexe d'espèces du genre Mus en Europe Centrale et Orientale",1983,"Zeitschrift für Säugetierkunde","48",,,"78","85",,33,,2-s2.0-0002699063
"Bachhuber C.","35177150000;","Aegean interest on the Uluburun ship",2006,"American Journal of Archaeology","110","3",,"345","363",,39,"10.3764/aja.110.3.345",2-s2.0-49849091770
"Bass G.F.","","Sailing between the aegean and the orient in the second millennium B.C",1998,"Aegaeum","18",,,"183","191",,14,,2-s2.0-79959179019
"Cierny J., Stöllner T., Weisgerber G.","","Ohne Zinn keine Bronzezeit",2001,"Leibniz","1",,,"16","17",,1,,2-s2.0-49849103777
[No author name available],[No author id available],[No title available],1999,"Cargoes from Three Continents: Ancient Mediterranean Trade in Modern Archaeology",,,,"","",,1,,2-s2.0-85030423503
"CRAMPTON J.S.","7005574651;","Elliptic Fourier shape analysis of fossil bivalves: some practical considerations",1995,"Lethaia","28","2",,"179","186",,225,"10.1111/j.1502-3931.1995.tb01611.x",2-s2.0-0029535455
