Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Aubert M., Brumm A., Ramli M., Sutikna T., Saptomo E.W., Hakim B., Morwood M.J., Van Den Bergh G.D., Kinsley L., Dosseto A.","16028043000;14019067900;56397824300;8394220200;8981183000;56398194200;6603099496;6602575711;6602388758;21733706200;","Pleistocene cave art from Sulawesi, Indonesia",2014,"Nature","514","7521",,"223","227",,175,"10.1038/nature13422",2-s2.0-84908312089
"Barbujani G.","56231425400;","Human genetics: Message from the mesolithic",2012,"Current Biology","22","16",,"R631","R633",,5,"10.1016/j.cub.2012.06.033",2-s2.0-84865238388
"Bramanti B., Thomas M.G., Haak W., Unterlaender M., Jores P., Tambets K., Antanaitis-Jacobs I., Haidle M.N., Jankauskas R., Kind C.-J., Lueth F., Terberger T., Hiller J., Matsumura S., Forster P., Burger J.","6602574670;8606206600;8879704200;40262589100;40261613600;8790150900;40260932400;8247442300;6701345535;13608633300;40261893100;6507407656;7102634964;35741011900;35725329700;12778968400;","Genetic discontinuity between local hunter-gatherers and central Europe's first farmers",2009,"Science","326","5949",,"137","140",,302,"10.1126/science.1176869",2-s2.0-70349653632
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Brandt G., Szécsényi-Nagy A., Roth C., Alt K.W., Haak W.","9237647000;55884572000;55884425700;7006833304;8879704200;","Human paleogenetics of Europe - The known knowns and the known unknowns",2015,"Journal of Human Evolution","79",,,"73","92",,43,"10.1016/j.jhevol.2014.06.017",2-s2.0-84921656314
"Chazine J.-M.","6505993194;","Rock art, burials, and habitations: Caves in East Kalimantan",2005,"Asian Perspectives","44","1",,"219","230",,15,,2-s2.0-24344447161
"Chazine J.-M., Noury A.","","Sexual Determination of Hand Stencils on the Main Panel of the Gua Masri II Cave (East-Kalimantan/Borneo-Indonesia)",2006,"International Newsletter on Rock Art","44",,,"21","26",,14,,2-s2.0-60449087802
"Cieri R.L., Churchill S.E., Franciscus R.G., Tan J., Hare B.","55965827000;7103207229;6602421109;50263280100;8668054100;","Craniofacial feminization, social tolerance, and the origins of behavioral modernity",2014,"Current Anthropology","55","4",,"419","443",,56,"10.1086/677209",2-s2.0-84904426884
"Clottes J.","",[No title available],2010,"Cave Art",,,,"","",,13,,2-s2.0-84857353339
"Clottes J., Lewis-Williams D.","6603188583;55297609700;","Upper Palaeolithic Cave Art: French and South African Collaboration",1996,"Cambridge Archaeological Journal","6","1",,"137","139",,3,"10.1017/S0959774300001633",2-s2.0-85008590396
"de-la-Rua C., Izagirre N., Alonso S., Hervella M.","35466459900;6507937110;7102615180;35336904600;","Ancient DNA in the Cantabrian fringe populations: A mtDNA study from Prehistory to Late Antiquity",2015,"Quaternary International","364",,,"306","311",,8,"10.1016/j.quaint.2015.01.035",2-s2.0-84926052549
"Dryden I.L., Mardia K.V.","",[No title available],1998,"Statistical Shape Analysis",,,,"","",,2639,,2-s2.0-0003489720
"Flood J.","","Rock art of the Koolburra Plateau, north Queensland",1987,"Rock Art Research","4","2",,"91","126",,13,,2-s2.0-0010457286
"Galeta P., Bruzek J., Lázničková-Galetová M.","23134433400;6602595244;35769214800;","Is sex estimation from handprints in prehistoric cave art reliable? A view from biological and forensic anthropology",2014,"Journal of Archaeological Science","45","1",,"141","149",,16,"10.1016/j.jas.2014.01.028",2-s2.0-84896043988
"García-Diez M., Garrido D., Hoffmann D.L., Pettitt P.B., Pike A.W.G., Zilhão J.","55252678400;56735978600;55725685500;7004264547;55566368400;6603255535;","The chronology of hand stencils in European Palaeolithic rock art: Implications of new u-series results from el Castillo cave (Cantabria, Spain)",2015,"Journal of Anthropological Sciences","93",,,"135","152",,24,"10.4436/jass.93004",2-s2.0-84937880450
"Groënen M.","","Les représentations de mains négatives dans les grottes de Gargas et de Tibiran",1988,"Bull. Société Royale Belge D'Anthropologie et de Préhistoire","99",,,"81","113",,8,,2-s2.0-0442320012
"Groenen M.","","Images de mains dans la préhistoire. La part de l'oeil",2011,"Dossier. L'art fonction symbolique","25-26",,,"124","137",,1,,2-s2.0-85010269366
"Gunn R.G.","","Hand sizes in rock art: Interpreting the measurements of hand stencils and prints",2006,"Rock Art Res.","23","1",,"97","112",,18,,2-s2.0-44849087422
"Guthrie R.D.","","The Nature of Paleolithic Art",2005,"The Nature of Paleolithic Art",,,,"","",,131,,2-s2.0-33750983519
"Hooper A.","7101963418;","Further information on the prehistoric representations of human hands in the cave of gargas",1980,"Medical History","24","2",,"214","216",,6,"10.1017/S0025727300040187",2-s2.0-0018954223
"Ishak N.-I., Hemy N., Franklin D.","52363757000;52363954500;24576392900;","Estimation of sex from hand and handprint dimensions in a Western Australian population",2012,"Forensic Science International","221","1-3",,"154.e1","154.e6",,22,"10.1016/j.forsciint.2012.04.017",2-s2.0-84864351301
"Janssens P.A.","35127650600;","Medical views on prehistoric representations of human hands",1957,"Medical History","1","4",,"318","322",,7,"10.1017/S0025727300021499",2-s2.0-70449172805
"Kanchan T., Kumar G.P., Menezes R.G.","35237157900;8945110100;55517099900;","Index and ring finger ratio-A new sex determinant in south Indian population",2008,"Forensic Science International","181","1-3",,"53.e1","53.e4",,42,"10.1016/j.forsciint.2008.08.002",2-s2.0-54349125023
"Kanchan T., Rastogi P.","35237157900;16834973600;","Sex determination from hand dimensions of north and south Indians",2009,"Journal of Forensic Sciences","54","3",,"546","550",,42,"10.1111/j.1556-4029.2009.01018.x",2-s2.0-65349086198
"Klingenberg C.P., Zaklan S.D.","7004588456;6602385539;","Morphological integration between developmental compartments in the Drosophila wing",2000,"Evolution","54","4",,"1273","1285",,173,"10.1111/j.0014-3820.2000.tb00560.x",2-s2.0-0033626266
"Klingenberg C.P., Barluenga M., Meyer A.","7004588456;6602901177;57203423445;","Shape analysis of symmetric structures: Quantifying variation among individuals and asymmetry",2002,"Evolution","56","10",,"1909","1920",,581,"10.1111/j.0014-3820.2002.tb00117.x",2-s2.0-0036807802
"Klingenberg C.P.","","MorphoJ",2008,"MorphoJ",,,,"","",,61,,2-s2.0-66249126390
"Králík M., Katina S., Urbanová P.","","Distal part of the human hand: study of form variability and sexual dimorphism using geometric morphometrics",2014,"Athropologia Integra","5","2",,"7","25",,4,,2-s2.0-84946915097
"Lacan M., Keyser C., Crubézy E., Ludes B.","24461818600;6701371211;6603671189;7006084980;","Ancestry of modern Europeans: Contributions of ancient DNA",2013,"Cellular and Molecular Life Sciences","70","14",,"2473","2487",,11,"10.1007/s00018-012-1180-5",2-s2.0-84879606286
"Lazaridis I., Patterson N., Mittnik A., Renaud G., Mallick S., Kirsanow K., Sudmant P.H., Schraiber J.G., Castellano S., Lipson M., Berger B., Economou C., Bollongino R., Fu Q., Bos K.I., Nordenfelt S., Li H., De Filippo C., Prüfer K., Sawyer S., Posth C., Haak W., Hallgren F., Fornander E., Rohland N., Delsate D., Francken M., Guinet J.-M., Wahl J., Ayodo G., Babiker H.A., Bailliet G., Balanovska E., Balanovsky O., Barrantes R., Bedoya G., Ben-Ami H., Bene J., Berrada F., Bravi C.M., Brisighelli F., Busby G.B.J., Cali F., Churnosov M., Cole D.E.C., Corach D., Damba L., Van Driem G., Dryomov S., Dugoujon J.-M., Fedorova S.A., Gallego Romero I., Gubina M., Hammer M., Henn B.M., Hervig T., Hodoglugil U., Jha A.R., Karachanak-Yankova S., Khusainova R., Khusnutdinova E., Kittles R., Kivisild T., Klitz W., Kučinskas V., Kushniarevich A., Laredj L., Litvinov S., Loukidis T., Mahley R.W., Melegh B., Metspalu E., Molina J., Mountain J., Näkkäläjärvi K., Nesheva D., Nyambo T., Osipova L., Parik J., Platonov F., Posukh O., Romano V., Rothhammer F., Rudan I., Ruizbakiev R., Sahakyan H., Sajantila A., Salas A., Starikovskaya E.B., Tarekegn A., Toncheva D., Turdikulova S., Uktveryte I., Utevska O., Vasquez R., Villena M., Voevoda M., Winkler C.A., Yepiskoposyan L., Zalloua P., Zemunik T., Cooper A., Capelli C., Thomas M.G., Ruiz-Linares A., Tishkoff S.A., Singh L., Thangaraj K., Villems R., Comas D., Sukernik R., Metspalu M., Meyer M., Eichler E.E., Burger J., Slatkin M., Pääbo S., Kelso J., Reich D., Krause J.","56378084200;7006515330;37124461600;14023287300;24339060900;24343940100;57205255279;36775608600;57194685058;55489570100;7201838430;55334089000;23487726500;55082636100;36169885900;56377945300;12777127000;35387770000;21735503800;54881795300;56378823400;8879704200;55318039900;24171309800;6506138463;6506357975;35723859900;56378704800;24400476500;56269858800;7004424452;6602302874;57205450032;57215688518;7004415266;6602127921;56378404900;7004301899;6603370183;6601959158;24729294000;35301861200;55335472900;6601948788;35426489300;6701340533;23982267100;8743446400;55173803300;7006761522;35306925400;23111689800;23970506900;7103177762;6508347528;6603889073;57207651570;24174848600;56291712200;6602798130;35381528600;6603870979;55804366500;7003318666;7003568994;55203611900;55965669700;26654389500;56377757300;7101847176;7006450480;6603276067;7201416831;7005346177;56378614600;35838707700;15753790300;57203881313;6602137590;54789144400;6603671828;35551605600;7006806972;7007138278;56378095100;55215344100;56267974300;7102443063;7801406951;8139829600;7004062788;8913106800;56378893300;35390340700;36026049600;7003577537;57195959148;7102748704;6506052050;6701479746;55948554700;35263632400;7004189634;8606206600;6701908899;6602129816;55628587703;6603011487;7004629464;7003976031;7004898454;57205450001;35311551900;7005436796;12778968400;57203643592;7006151134;7101702542;7102313000;8765526800;","Ancient human genomes suggest three ancestral populations for present-day Europeans",2014,"Nature","513","7518",,"409","413",,474,"10.1038/nature13673",2-s2.0-84907803675
