Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Ahler S.A., Geib P.R.","15737913500;14823055800;","Why flute? Folsom point design and adaptation",2000,"Journal of Archaeological Science","27","9",,"799","820",,66,"10.1006/jasc.1999.0503",2-s2.0-0033800443
"Anderson D.G., Goodyear A.C., Kennett J., West A.","55483409400;25951364200;7005713578;15121873600;","Multiple lines of evidence for possible Human population decline/settlement reorganization during the early Younger Dryas",2011,"Quaternary International","242","2",,"570","583",,71,"10.1016/j.quaint.2011.04.020",2-s2.0-80052401055
"Anderson D.G., Miller D.S., Yerka S.J., Gillam J.C., Johanson E.N., Anderson D.T., Goodyear A.C., Smallwood A.M.","","PIDBA (Paleoindian Database of the Americas) 2010: current status and findings",2010,"Archaeology of Eastern North America","38",,,"63","90",,86,,2-s2.0-77958132904
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bradley B.A.","","Sloan site biface and projectile point technology",1997,"Sloan: A Paleoindian Dalton Cemetery in Arkansas",,,,"53","57",,24,,2-s2.0-0003146276
"Buchanan B., Collard M.","11241802300;7102608373;","A geometric morphometrics-based assessment of blade shape differences among Paleoindian projectile point types from western North America",2010,"Journal of Archaeological Science","37","2",,"350","359",,71,"10.1016/j.jas.2009.09.047",2-s2.0-70449670300
"Bullen R.P.","",[No title available],1975,"A Guide to the Identification of Florida Projectile Points",,,,"","",,38,,2-s2.0-0003153022
"Cardillo M.","57212772096;","Some applications of geometric morphometrics to archaeology",2010,"Lecture Notes in Earth Sciences","124",,,"325","341",,35,"10.1007/978-3-540-95853-6_15",2-s2.0-85030431181
"Charlin J., González-José R.","26658892500;6602423911;","Testing an ethnographic analogy through geometric morphometrics: A comparison between ethnographic arrows and archaeological projectile points from Late Holocene Fuego-Patagonia",2018,"Journal of Anthropological Archaeology","51",,,"159","172",,5,"10.1016/j.jaa.2018.06.008",2-s2.0-85049727111
"Dunbar J.S.","","Mental Templates and a Revised Typology for Florida Paleoindian Points",2013,"Poster presented at the PaleoAmerican Odyssey Conference",,,,"","",,1,,2-s2.0-85065653665
"Dunbar J.S.","12808534200;","Paleoindian societies of the coastal Southeast",2016,"Paleoindian Societies of the Coastal Southeast",,,,"1","324",,7,,2-s2.0-85011339705
"Dunbar J.S., Hemmings C.A.","","Florida Paleoindian points and knives",2004,"New Perspectives on the First Americans",,,,"65","72",,19,,2-s2.0-11044233124
"Ellis C.","","Understanding ""Clovis"" fluted point variability in the Northeast: a perspective from the Debert site, Nova Scotia",2004,"Canadian Journal of Archaeology","28","2",,"205","253",,47,,2-s2.0-51649093654
"Farr G.E.","","A Reevaluation of Bullen’s Typology for Preceramic Projectile Points",2006,"A Reevaluation of Bullen's Typology for Preceramic Projectile Points",,,,"","",,4,,2-s2.0-85011347990
"Goodyear A.C.","","Recognition of the Redstone fluted point in the South Carolina Paleoindian point data base",2006,"Current Research in the Pleistocene","23",,,"100","103",,30,,2-s2.0-36048981744
"Hemmings E.T.","","The Silver Springs Site, Prehistory in the Silver Springs Valley, Florida",1975,"Florida Anthropologist","28",,,"141","158",,6,,2-s2.0-79954053002
"Justice N.D.","",[No title available],1987,"Stone Age Spear and Arrow Points of the Midcontinental and Eastern United States",,,,"","",,128,,2-s2.0-0003916876
"Klingenberg C.P.","7004588456;","MorphoJ: An integrated software package for geometric morphometrics",2011,"Molecular Ecology Resources","11","2",,"353","357",,1766,"10.1111/j.1755-0998.2010.02924.x",2-s2.0-78650839801
