Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","A field comes of age: Geometric morphometrics in the 21st century",2013,"Hystrix","24","1",,"","",,304,"10.4404/hystrix-24.1-6283",2-s2.0-84875767161
"Anthony D.W.","","The horse, the wheel and language: How Bronze-Age riders from the Eurasian steppes shaped the modern world",2007,"The Horse, the Wheel, and Language",,,,"","",,182,,2-s2.0-44449096330
"Baylac M., Friess M.","","Fourier descriptors, Procrustes superimposition, and data dimensionality: An example of cranial shape analysis in modern human populations",2005,"Modern Morphometrics in Physical Anthropology",,,,"145","165",,90,,2-s2.0-14744301944
"Baylac M.","","Rmorph: A R geometric and multivariate morphometrics library.",2012,"Rmorph: A R Geometric and Multivariate Morphometrics Library",,,,"","",,57,,2-s2.0-55349130219
"Benecke N.","6507420597;","The Krabbe Collection of Icelandic horses and its significance for archaeozoological research",1990,"Journal of Archaeological Science","17","2",,"161","185",,2,"10.1016/0305-4403(90)90057-C",2-s2.0-33744461750
"Bignon O., Baylac M., Vigne J.-D., Eisenmann V.","15135083300;6701570331;7006603465;6701396464;","Geometric morphometrics and the population diversity of Late Glacial horses in Western Europe (Equus caballus arcelini): Phylogeographic and anthropological implications",2005,"Journal of Archaeological Science","32","3",,"375","391",,37,"10.1016/j.jas.2004.02.016",2-s2.0-14744301135
"Bökönyi S.","",[No title available],1974,"History of Domestic Mammals in Central and Eastern Europe",,,,"","",,270,,2-s2.0-0003688095
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Collins W.B., Brooks J.","","Performance of Icelandic horses in North-western Alaska",1984,"Rangelands","6",,,"253","256",,1,,2-s2.0-85030433675
"Cucchi T., Fujita M., Dobney K.","6506822509;18041913000;6602595568;","New insights into pig taxonomy, domestication and human dispersal in Island South East Asia: Molar shape analysis of Sus remains from Niah Caves, Sarawak",2009,"International Journal of Osteoarchaeology","19","4",,"508","530",,55,"10.1002/oa.974",2-s2.0-70349639859
"Cucchi T., Bǎlǎşescu A., Bem C., Radu V., Vigne J.-D., Tresset A.","6506822509;26033049400;54796493000;16064424400;7006603465;6506727552;","New insights into the invasive process of the eastern house mouse (Mus musculus musculus): Evidence from the burnt houses of Chalcolithic Romania",2011,"Holocene","21","8",,"1195","1202",,19,"10.1177/0959683611405233",2-s2.0-82855163897
"Cucchi T., Hulme-Beaman A., Yuan J., Dobney K.","6506822509;36627224600;56988201600;6602595568;","Early Neolithic pig domestication at Jiahu, Henan Province, China: Clues from molar shape analyses using geometric morphometric approaches",2011,"Journal of Archaeological Science","38","1",,"11","22",,79,"10.1016/j.jas.2010.07.024",2-s2.0-78049286754
"Drake A.G., Klingenberg C.P.","23008538800;7004588456;","The pace of morphological change: Historical transformation of skull shape in St Bernard dogs",2008,"Proceedings of the Royal Society B: Biological Sciences","275","1630",,"71","76",,234,"10.1098/rspb.2007.1169",2-s2.0-36349010900
"Dryden I.L., Mardia K.V.","",[No title available],1998,"Statistical Shape Analysis",,,,"","",,2639,,2-s2.0-0003489720
"Eisenmann V.","","Sur quelques caractères adaptatifs du squelette d'Equus (Mammalia, Perissodactyla) et leurs implications paléoécologiques",1984,"Bulletin Du Muséum National D'Histoire Naturelle",,"2",,"185","195",,37,,2-s2.0-0004945133
"Eisenmann V.","","Quaternary horses: Possible candidates to domestication",1996,"Proc. XIII Congr. International Union of Prehistoric and Protohistoric Sciences",,,,"27","36",,15,,2-s2.0-44449134396
"Eronen J.T., Evans A.R., Fortelius M., Jernvall J.","8910859500;55245839900;6701375676;6603722003;","The impact of regional climate on the evolution of mammals: A case study using fossil horses",2010,"Evolution","64","2",,"398","408",,25,"10.1111/j.1558-5646.2009.00830.x",2-s2.0-75149165776
"Evander R.L.","8407146000;","A revised dental nomenclature for fossil horses",2004,"Bulletin of the American Museum of Natural History",,"285",,"209","218",,12,,2-s2.0-17144373354
"Evin A., Cucchi T., Cardini A., Strand Vidarsdottir U., Larson G., Dobney K.","23977570900;6506822509;21933368100;55349385000;8280762100;6602595568;","The long and winding road: Identifying pig domestication through molar size and shape",2013,"Journal of Archaeological Science","40","1",,"735","743",,87,"10.1016/j.jas.2012.08.005",2-s2.0-84867907430
"FORSTEN A.","6701485437;","The small caballoid horse of the upper Pleistocene and Holocene",1988,"Journal of Animal Breeding and Genetics","105","1-6",,"161","176",,23,"10.1111/j.1439-0388.1988.tb00288.x",2-s2.0-85017265192
"Gidley J.W.","","Tooth characters and revision of the North American species of the genus Equus",1901,"Bulletin of the American Museum of Natural History","14",,,"91","142",,19,,2-s2.0-0009465744
"Gingerich P.D.","","Size variability of the teeth in living mammals and the diagnosis of closely related sympatric fossil species",1974,"Journal of Paleontology","48","5",,"895","903",,170,,2-s2.0-0001288067
"Hillson S.","",[No title available],2005,"Teeth",,,,"","",,496,,2-s2.0-33747187288
"Isenbügel E.","",[No title available],1966,"Das Isländischen Pony",,,,"","",,1,,2-s2.0-84888032181
"Jansen T., Forster P., Levine M.A., Oelke H., Hurles M., Renfrew C., Weber J., Olek K.","35945559100;35725329700;7404034828;22948673600;6603410789;7003474970;57213136563;16186574200;","Mitochondrial DNA and the origins of the domestic horse",2002,"Proceedings of the National Academy of Sciences of the United States of America","99","16",,"10905","10910",,224,"10.1073/pnas.152330099",2-s2.0-0036679199
