Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Albarella U., Ceglia V., Roberts P.","8267110000;57189545925;39764342200;","S. giacomo degli schiavoni (molise): An early fifth century ad deposit of pottery and animal bones from central adriatic italy",1993,"Papers of the British School at Rome","61",,,"157","230",,13,"10.1017/S0068246200009971",2-s2.0-84972476574
"Albizuri S., Nadal J.","","Estudi de l’èquid aparegut en relació amb l'estructura E10 de l'Hort d'en Grimau",1991,"Olerdulae","3",,,"112","117",,4,,2-s2.0-85006913913
"Arbogast R.-M., Clavel B., Lepetz S., Méniel P., Yvinec J.-H.","","Archaéologie du cheval: des origines à la période moderne en Farnce",2002,"Archéologie du cheval",,,,"","",,20,,2-s2.0-60949293395
"Arloing S.","","Caractères ostéologiques différentiels de l'âne, du cheval et de leurs hybrides",1882,"Bulletin de la Société d'Anthropologie de Lyon",,,,"236","284",,4,,2-s2.0-84878244182
"Armitage P., Chapman H.","","Roman mules",1979,"London Archaeologist","3",,,"339","346",,13,,2-s2.0-46049102887
"Azzaroli A.","","On a late Pleistocene ass from Tuscany, with notes on the history of asses",1979,"Palaeontographia Italica","71",,,"27","47",,21,,2-s2.0-0344974919
"Barme M., Clavel B.","","La pratique urbaine de l’équarrissage à la charnière du Moyen-Âge et de l’époque moderne : l'exemple d'Elbeuf (Seine-Maritime)",2015,"Archéopages","41",,,"30","39",,2,,2-s2.0-85006912912
"Barone R.","",[No title available],1976,"Anatomie Comparée des Mammifères Domestiques",,,,"","",,426,,2-s2.0-0003614310
"Baxter I.L.","","Species identification of equids from western European archaeological deposits: Methodologies, techniques and problems",1998,"Current and Recent Research in Osteoarchaeology. Proceedings of the Third Meeting of the Osetoarchaeological Research Group",,,,"3","17",,11,,2-s2.0-60950153443
"Baylac M.","","Rmorph ",2014,,,,,"","",,1,,2-s2.0-85006941488
"Baylac M., Friess M.","","Fourier descriptors, Procrustes superimposition, and data dimensionality: An example of cranial shape analysis in modern human populations",2005,"Modern Morphometrics in Physical Anthropology",,,,"145","165",,90,,2-s2.0-14744301944
"Beja-Pereira A., England P.R., Ferrand N., Jordan S., Bakhiet A.O., Abdalla M.A., Mashkour M., Jordana J., Taberlet P., Luikart G.","6603863523;7102445764;7004762385;56272008500;6602804266;7102447383;23980277500;7004217649;7005159471;57204344670;","African origins of the domestic donkey",2004,"Science","304","5678",,"1781","",,120,"10.1126/science.1096008",2-s2.0-2942700061
