Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Otárola-Castillo E.","7404054540;25629989200;","Geomorph: An r package for the collection and analysis of geometric morphometric shape data",2013,"Methods in Ecology and Evolution","4","4",,"393","399",,795,"10.1111/2041-210X.12035",2-s2.0-84875761771
"Angelone C., Čermák S., Moncunill-Solé B., Quintana J., Tuveri C., Arca M., Kotsakis T.","16633426200;7005606347;55804925400;22235800700;8746156800;8746155600;6601977576;","Systematics and paleobiogeography of Sardolagus obscurus n. gen. n. sp. (Leporidae, Lagomorpha) from the early Pleistocene of Sardinia",2018,"Journal of Paleontology","92","3",,"506","522",,4,"10.1017/jpa.2017.144",2-s2.0-85045958434
"Angelone C., Rook L.","","Late Neogene and Quaternary lagomorphs from Tuscany: a revision based on specimens in Basel Naturhistorisches Museum and Florence University collections",2012,"Swiss Journal of Palaeontology","131","1",,"127","145",,15,,2-s2.0-84864819295
"Ashton K.G., Tracy M.C., De Queiroz A.","7005932556;8789379800;7102610024;","Is Bergmann's rule valid for mammals?",2000,"American Naturalist","156","4",,"390","415",,420,"10.1086/303400",2-s2.0-0033804463
"Balek C.L.","6507668790;","Buried Artifacts in Stable Upland Sites and the Role of Bioturbation: A Review",2002,"Geoarchaeology - An International Journal","17","1",,"41","51",,60,"10.1002/gea.10002",2-s2.0-0042516837
"Benjamini Y., Hochberg Y.","","Controlling the false discovery rate: A practical and powerful approach to multiple testing",1995,"J R Stat Soc","57","1",,"289","300",,40586,,2-s2.0-0001677717
"Bergmann C.","","Uber die verhaltnisse der warmeokonomie der thiere zu ihrer grosse",1847,"Göttinger Studien",,"PART 1",,"595","708",,1131,,2-s2.0-0001733725
"Biadi F., Le Gall A.","","Le lapin de garenne. Vie Gestion et chasse d'un gibier authentique",1993,"Le Lapin de Garenne",,,,"","",,11,,2-s2.0-0003869378
"Biju-Duval C., Ennafaa H., Dennebouy N., Monnerot M., Mignotte F., Soriguer R.C., Gaaïed A.E., Hili A.E., Mounolou J.-C.","7801357283;8529236500;6602338308;56630810200;6602801773;6603370710;23388945200;16428520900;6603996418;","Mitochondrial DNA evolution in lagomorphs: Origin of systematic heteroplasmy and organization of diversity in European rabbits",1991,"Journal of Molecular Evolution","33","1",,"92","102",,90,"10.1007/BF02100200",2-s2.0-0025999872
"Blasco R., Rosell J., Fernández Peris J., Arsuaga J.L., Bermúdez de Castro J.M., Carbonell E.","23099008800;35747067100;23099959200;6506247114;7003670066;7004942023;","Environmental availability, behavioural diversity and diet: A zooarchaeological approach from the TD10-1 sublevel of Gran Dolina (Sierra de Atapuerca, Burgos, Spain) and Bolomor Cave (Valencia, Spain)",2013,"Quaternary Science Reviews","70",,,"124","144",,85,"10.1016/j.quascirev.2013.03.008",2-s2.0-84877149235
"Blondel J.","",[No title available],1986,"Biogéographie Évolutive",,,,"","",,88,,2-s2.0-0004308018
"Boag B.","7006343854;","Observations on the variation in the sex ratio of wild rabbits (Oryctolagus cuniculus) in eastern Scotland",1992,"Journal of Zoology","227","2",,"338","342",,5,"10.1111/j.1469-7998.1992.tb04831.x",2-s2.0-33748061104
"Bocek B.","57010375600;","Rodent Ecology and Burrowing Behavior: Predicted Effects on Archaeological Site Formation",1986,"American Antiquity","51","3",,"589","603",,95,"10.2307/281754",2-s2.0-0001432976
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Brambell F.W.R.","23062862900;","The Reproduction of the Wild Rabbit Oryctolagus cuniculus (L.).",1944,"Proceedings of the Zoological Society of London","114","1-2",,"1","45",,69,"10.1111/j.1096-3642.1944.tb00210.x",2-s2.0-84976137640
"Branco M., Monnerot M., Ferrand N., Templeton A.R.","7004477391;56630810200;7004762385;7201988811;","Postglacial dispersal of the European rabbit (Oryctolagus cuniculus) on the Iberian Peninsula reconstructed from nested clade and mismatch analyses of mitochondrial DNA genetic variation",2002,"Evolution","56","4",,"792","803",,83,"10.1111/j.0014-3820.2002.tb01390.x",2-s2.0-0035999489
"Callou C.","","De la garenne au clapier: étude archéozoologique du Lapin en Europe Occidentale",2003,"De la Garenne Au Clapier. Étude Archéozoologique du Lapin en Europe Occidentale.",,,,"","",,30,,2-s2.0-52649124101
"Cochard D.","","Les léporidés dans la subsistance paléolithique du Sud de la France",2004,"Les Léporidés Dans la Subsistance Paléolithique du Sud de la France",,,,"","",,56,,2-s2.0-17744372932
"Cochard D., Brugal J.-P., Morin E., Meignen L.","24504235300;6602794927;8603900600;6507676239;","Evidence of small fast game exploitation in the Middle Paleolithic of Les Canalettes Aveyron, France",2012,"Quaternary International","264",,,"32","51",,61,"10.1016/j.quaint.2012.02.014",2-s2.0-84861573349
"Cowan D.P.","57198370427;","The use of ferrets (Mustela furo) in the study and management of the European wild rabbit (Oryctolagus cuniculus)",1984,"Journal of Zoology","204","4",,"570","574",,16,"10.1111/j.1469-7998.1984.tb02391.x",2-s2.0-0040580403
"Cowan D.P.","57198370427;","Group living in the European rabbit ( Oryctolagus cuniculus): mutual benefit or resource localization?",1987,"Journal of Animal Ecology","56","3",,"779","795",,50,"10.2307/4948",2-s2.0-0023500498
"Cowan D.P., Garson P.J.","","Variations in the social structure of rabbit populations: Causes and demographic consequences",1985,"Behavioural Ecology: Ecological Consequences of Adaptive Behaviour",,,,"537","555",,44,,2-s2.0-0002312905
"Crégut-Bonnoure É.","","Les lagomorphes",1995,"Le Gisement Paléolithique Moyen de la Grotte des Cèdres (Le Plan-d'Aups, Var)",,,,"143","147",,1,,2-s2.0-85070832949
"Cucchi T., Mohaseb A., Peigné S., Debue K., Orlando L., Mashkour M.","6506822509;16067143100;55991334200;6504561039;7006472586;23980277500;","Detecting taxonomic and phylogenetic signals in equid cheek teeth: Towards new palaeontological and archaeological proxies",2017,"Royal Society Open Science","4","4", 160997,"","",,12,"10.1098/rsos.160997",2-s2.0-85017259056
"Damuth J., MacFadden B.J.","",[No title available],1990,"Body Size in Mammalian Paleobiology: Estimation and Biological Implications",,,,"","",,244,,2-s2.0-0003630986
"Davis S.J.M., Moreno-García M.","","Of metapodials, measurements and music: Eight years of miscellaneous zooarchaeological discoveries at the IPA, Lisbon",2007,"O Arqueólogo Português","25","25",,"9","165",,10,,2-s2.0-84869482070
"De Marfà R.","18042009700;","Oryctolagus giberti n. sp. (Lagomorpha, Mammalia) from the Lower Pleistocene of Cueva Victoria (Murcia, Spain) [Oryctolagus giberti n. sp. (Lagomorpha, Mammalia) du Pléistocène inférieur de Cueva Victoria (Murcie, Espagne)]",2008,"Comptes Rendus - Palevol","7","5",,"305","313",,15,"10.1016/j.crpv.2008.03.003",2-s2.0-45549087233
"De Marfà R.","","Els Lagomorfs (O. Lagomorpha, Cl. Mammalia) del Pliocè i el Pleistocè Europeus",2009,"PhD Thesis, Universitat de Barcelona",,,,"","",,20,,2-s2.0-79955815425
"De Marfà R., Mein P.","18042009700;7004466068;","Revision of Oryctolagus lacosti (Lagomorpha, Mammalia) from the Upper Pliocene of Perrier (Auvergne, France) [Révision d'Oryctolagus lacosti (Lagomorpha, Mammalia) du Pliocène supérieur de Perrier (Auvergne, France)]",2007,"Comptes Rendus - Palevol","6","5",,"327","334",,10,"10.1016/j.crpv.2007.05.003",2-s2.0-34547522372
