Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Eck G.G., Jablonski N.G.","","The skull of Theropithecus brumpti compared with those of other species of the genus Theropithecus",1987,"Les Faunes Plio-Pléistocènes De La Basse Vallée De L'Omo (Éthiopie). Cercopithecidae De La Formation De Shungura","3",,,"11","122",,36,,2-s2.0-0002782799
"Fabre P-.H., Rodrigues A., Douzery E.J.P.","24372542200;57213494908;6603906189;","Patterns of macroevolution among primates inferred from a supermatrix of mitochondrial and nuclear DNA",2009,"Molecular Phylogenetics and Evolution","53","3",,"808","825",,122,"10.1016/j.ympev.2009.08.004",2-s2.0-74949137624
"Galbany J., Estebaranz F., Martínez L.M., Romero A., De Juan J., Turbón D., Pérez-Pérez A.","8208323600;13004474600;8208322800;55437161000;7003991071;6602401637;7003385730;","Comparative analysis of dental enamel polyvinylsiloxane impression and polyurethane casting methods for SEM research",2006,"Microscopy Research and Technique","69","4",,"246","252",,51,"10.1002/jemt.20296",2-s2.0-33645896722
"Galbany J., Martínez L.M., Pérez-Pérez A.","","Tooth replication techniques, SEM imaging and microwear analysis in primates: Methodological obstacles",2004,"Anthropologie","42","1",,"5","12",,44,,2-s2.0-14644394098
"Gómez-Robles A., Martinón-Torres M., Bermúdez de Castro J.M., Margvelashvili A., Bastir M., Arsuaga J.L., Pérez-Pérez A., Estebaranz F., Martínez L.M.","19638655200;6505967345;7003670066;19639204400;6603088960;6506247114;7003385730;13004474600;8208322800;","A geometric morphometric analysis of hominin upper first molar shape",2007,"Journal of Human Evolution","53","3",,"272","285",,116,"10.1016/j.jhevol.2007.02.002",2-s2.0-34548239743
"Gómez-Robles A., Martinón-Torres M., Bermúdez de Castro J.M., Prado L., Sarmiento S., Arsuaga J.L.","19638655200;6505967345;7003670066;24176301400;6603503146;6506247114;","Geometric morphometric analysis of the crown morphology of the lower first premolar of hominins, with special attention to Pleistocene Homo",2008,"Journal of Human Evolution","55","4",,"627","638",,92,"10.1016/j.jhevol.2008.03.011",2-s2.0-51349166555
"Gómez-Robles A., Olejniczak A.J., Martinón-Torres M., Prado-Simón L., Bermúdez de Castro J.M.","19638655200;6603542852;6505967345;36721883500;7003670066;","Evolutionary novelties and losses in geometric morphometrics: A practical approach through hominin molar morphology",2011,"Evolution","65","6",,"1772","1790",,25,"10.1111/j.1558-5646.2011.01244.x",2-s2.0-79958042267
"Goodman M., Porter C.A., Czelusniak J., Page S.L., Schneider H., Shoshani J., Gunnell G., Groves C.P.","7401997903;7202932720;6603867312;57196849504;7404405691;6602183212;6603865722;7005017145;","Toward a Phylogenetic Classification of Primates Based on DNA Evidence Complemented by Fossil Evidence",1998,"Molecular Phylogenetics and Evolution","9","3",,"585","598",,510,"10.1006/mpev.1998.0495",2-s2.0-0032088632
"Guàrdia J., Maragall M., Mercadal O., Olesti O., Galbany J., Nadal J.","","Enterrament d'época tardoromana d'un macaco amb ""aiovar"" al jaciment de Les Colomines (Llívia, La Cerdanya)",2007,"Rev. Empuries","55",,,"199","227",,2,,2-s2.0-84893131192
"Hillson S.","",[No title available],2005,"Teeth",,,,"","",,496,,2-s2.0-33747187288
"Ivanović A., Sotiropoulos K., Džukić G., Kalezić M.L.","7003920038;57200571284;6602307520;35579493900;","Skull size and shape variation versus molecular phylogeny: A case study of alpine newts (Mesotriton alpestris, Salamandridae) from the Balkan Peninsula",2009,"Zoomorphology","128","2",,"157","167",,20,"10.1007/s00435-009-0085-9",2-s2.0-64249115323
"Jernvall J., Jung H.-S.","6603722003;7403030195;","Genotype, Phenotype, and Developmental Biology of Molar Tooth Characters",2000,"Yearbook of Physical Anthropology","43",,,"171","190",,130,,2-s2.0-0000093272
"Jernvall J., Kettunen P., Karavanova I., Martin L.B., Thesleff I.","6603722003;35902540000;6603985158;14627423000;7005319521;","Evidence for the role of the enamel knot as a control center in mammalian tooth cusp formation: Non-dividing cells express growth stimulating Fgf-4 gene",1994,"International Journal of Developmental Biology","38","3",,"463","469",,311,,2-s2.0-0027998109
"Jernvall J., Thesleff I.","6603722003;7005319521;","Reiterative signaling and patterning during mammalian tooth morphogenesis",2000,"Mechanisms of Development","92","1",,"19","29",,733,"10.1016/S0925-4773(99)00322-6",2-s2.0-0033998420
"Kangas A.T., Evans A.R., Thesleff I., Jernvall J.","7004655887;55245839900;7005319521;6603722003;","Nonindependence of mammalian dental characters",2004,"Nature","432","7014",,"211","214",,227,"10.1038/nature02927",2-s2.0-9144266539
"Kay R.F.","7203026774;","The functional adaptations of primate molar teeth",1975,"American Journal of Physical Anthropology","43","2",,"195","215",,461,"10.1002/ajpa.1330430207",2-s2.0-0016825530
"Kay R.F.","","Allometry and early hominids",1975,"Science","189",,,"","",,50,,2-s2.0-0000134705
"Kay R.F.","","Molar structure and diet in extant Cercopithecidae",1978,"Development, Function and Evolution of Teeth",,,,"309","339",,136,,2-s2.0-0002692444
"Kay R.F., Hylander W.L.","","The dental structure of mammalian folivores with special reference to Primates and Phalangeroidea (Marsupialia)",1978,"The Ecology of Arboreal Folivores",,,,"173","191",,186,,2-s2.0-0002312995
"Kinzey W.G.","","The dentition of the pygmy chimpanzee, Pan paniscus",1984,"The Pygmy Chimpanzee: Evolutionary Biology and Behavior",,,,"65","88",,40,,2-s2.0-0008169020
"Klingenberg C.P.","7004588456;","Evolution and development of shape: Integrating quantitative approaches",2010,"Nature Reviews Genetics","11","9",,"623","635",,325,"10.1038/nrg2829",2-s2.0-77955922325
"Kovarovic K., Aiello L.C., Cardini A., Lockwood C.A.","15827625200;7006805529;21933368100;7102516713;","Discriminant function analyses in archaeology: Are classification rates too good to be true?",2011,"Journal of Archaeological Science","38","11",,"3006","3018",,101,"10.1016/j.jas.2011.06.028",2-s2.0-80053448090
"Koyabu D.B., Endo H.","23980287200;55821728100;","Craniodental mechanics and diet in Asian colobines: Morphological evidence of mature seed predation and sclerocarpy",2010,"American Journal of Physical Anthropology","142","1",,"137","148",,19,"10.1002/ajpa.21213",2-s2.0-77950836659
"Liu W., Clarke R., Xing S.","28567979400;57192902027;35195151700;","Geometric morphometric analysis of the early Pleistocene hominin teeth from Jianshi, Hubei Province, China",2010,"Science China Earth Sciences","53","8",,"1141","1152",,10,"10.1007/s11430-010-4013-0",2-s2.0-77955306088
"Lockwood C.A.","7102516713;","Adaptation and functional integration in primate phylogenetics",2007,"Journal of Human Evolution","52","5",,"490","503",,18,"10.1016/j.jhevol.2006.11.013",2-s2.0-34247618666
"Lockwood C.A., Kimbel W.H., Lynch J.M.","7102516713;6603930109;25934906700;","Morphometrics and hominoid phylogeny: Support for a chimpanzee-human clade and differentiation among great ape subspecies",2004,"Proceedings of the National Academy of Sciences of the United States of America","101","13",,"4356","4360",,125,"10.1073/pnas.0306235101",2-s2.0-1842428882
"Lucas P.W., Teaford M.F.","","Functional morphology of colobine teeth",1994,"Colobine Monkeys: Their Ecology, Behaviour and Evolution",,,,"173","203",,109,,2-s2.0-0002398685
"Lynn C.","",[No title available],2003,"Navan Fort: Archaeology and Myth",,,,"","",,16,,2-s2.0-77954504172
"Macholán M.","7004627378;","A geometric morphometric analysis of the shape of the first upper molar in mice of the genus Mus (Muridae, Rodentia)",2006,"Journal of Zoology","270","4",,"672","681",,46,"10.1111/j.1469-7998.2006.00156.x",2-s2.0-33750973039
"Martinón-Torres M., Bastir M., Bermúdez de Castro J.M., Gómez A., Sarmiento S., Muela A., Arsuaga J.L.","6505967345;6603088960;7003670066;19638655200;6603503146;16686932500;6506247114;","Hominin lower second premolar morphology: evolutionary inferences through geometric morphometric analysis",2006,"Journal of Human Evolution","50","5",,"523","533",,122,"10.1016/j.jhevol.2005.12.004",2-s2.0-33745948323
"McGraw W.S., Fleagle J.G.","","Biogeography and evolution of the Cercocebus-Mandrillus clade: evidence from the face",2006,"Primate Biogeography: Progress and Prospects",,,,"201","224",,18,,2-s2.0-34249714612
"Mitteroecker P., Gunz P.","6507135382;6506472733;","Advances in Geometric morphometrics",2009,"Evolutionary Biology","36","2",,"235","247",,573,"10.1007/s11692-009-9055-x",2-s2.0-69449097227
"Modolo L., Salzburger W., Martin R.D.","23478039700;6602712677;7501383360;","Phylogeography of Barbary macaques (Macaca sylvanus) and the origin of the Gibraltar colony",2005,"Proceedings of the National Academy of Sciences of the United States of America","102","20",,"7392","7397",,51,"10.1073/pnas.0502186102",2-s2.0-18844362880
"O'Higgins P.","7004722122;","The study of morphological variation in the hominid fossil record: Biology, landmarks and geometry",2000,"Journal of Anatomy","197","1",,"103","120",,233,"10.1017/S0021878299006330",2-s2.0-0033852603
"Olesti O., Guárdia J., Maragall M., Mercadal O., Galbany J., Nadal J.","","Controlling the pyrenees: A macaque's burial from the late antiquity in iulia libica (llí via, la cerdanya, spain",2013,"War and Warfare in Late Antiquity: Current Perspectives",,,,"703","731",,2,,2-s2.0-84926417065
"Perelman P., Johnson W.E., Roos C., Seuánez H.N., Horvath J.E., Moreira M.A.M., Kessing B., Pontius J., Roelke M., Rumpler Y., Schneider M.P.C., Silva A., O'Brien S.J., Pecon-Slattery J.","6602267530;7404848826;7102389391;7005116841;7202923730;55207553500;6602254152;6603864566;7003436462;7006272761;7404063866;7403221897;7402355306;6602405281;","A molecular phylogeny of living primates",2011,"PLoS Genetics","7","3", e1001342,"","",,702,"10.1371/journal.pgen.1001342",2-s2.0-79953755778
"Pilbrow V.","15056633900;","Population systematics of chimpanzees using molar morphometrics",2006,"Journal of Human Evolution","51","6",,"646","662",,42,"10.1016/j.jhevol.2006.07.008",2-s2.0-33750742727
"Pilbrow V.","15056633900;","Dental and phylogeographic patterns of variation in gorillas",2010,"Journal of Human Evolution","59","1",,"16","34",,16,"10.1016/j.jhevol.2010.01.009",2-s2.0-77954217964
"Plavcan J.M.","6701429030;","Canine size and shape in male anthropoid primates",1993,"American Journal of Physical Anthropology","92","2",,"201","216",,54,"10.1002/ajpa.1330920209",2-s2.0-0027515679
"Polly P.D.","9841533000;","On morphological clocks and paleophylogeography: Towards a timescale for Sorex hybrid zones",2001,"Genetica","112-113",,,"339","357",,72,"10.1023/A:1013395907225",2-s2.0-0035708054
"Richtsmeier J.T., DeLeon V.B., Lele S.R.","7004651665;6603220772;35966285500;","The promise of geometric morphometrics",2002,"Yearbook of Physical Anthropology","45",,,"63","91",,204,"10.1002/ajpa.10174",2-s2.0-0040074359
"Rohlf F.J.","","Multivariate analysis of shape using partial-warp scores",1995,"Proceedings in Current Issues in Statistical Shape Analysis",,,,"154","158",,33,,2-s2.0-0002021456
"Rohlf F.J.","","Morphometric spaces, shape components and the effects of linear transformations",1996,"Advances in Morphometrics",,,,"117","129",,213,,2-s2.0-0002416668
"Rohlf F.J.","7003281107;","On Applications of Geometric Morphometrics to Studies of Ontogeny and Phylogeny",1998,"Systematic Biology","47","1",,"147","158",,287,"10.1080/106351598261094",2-s2.0-0346727676
"Rohlf F.J.","","TpsDig",2004,"TpsDig",,,,"","",,62,,2-s2.0-32544452413
"Rohlf F.J.","","TpsRelw",2007,"TpsRelw",,,,"","",,54,,2-s2.0-54749085658
"Rohlf F.J.","",[No title available],2009,"TpsRegr",,,,"","",,12,,2-s2.0-79952749961
"James Rohlf F., Marcus L.F.","24518567800;7005305240;","A revolution morphometrics",1993,"Trends in Ecology and Evolution","8","4",,"129","132",,1263,"10.1016/0169-5347(93)90024-J",2-s2.0-0242462501
"Rosenberger A.L.","7006701962;","Evolutionary morphology, platyrrhine evolution, and systematics",2011,"Anatomical Record","294","12",,"1955","1974",,34,"10.1002/ar.21511",2-s2.0-81255153654
"Rosenberger A.L., Kinzey W.G.","7006701962;6603830281;","Functional patterns of molar occlusion in platyrrhine primates",1976,"American Journal of Physical Anthropology","45","2",,"281","297",,118,"10.1002/ajpa.1330450214",2-s2.0-0017132120
"Rosenberger A.L., Halenar L., Cooke S.B.","7006701962;53979668000;36774313900;","The making of platyrrhine semifolivores: Models for the evolution of folivory in primates",2011,"Anatomical Record","294","12",,"2112","2130",,24,"10.1002/ar.21510",2-s2.0-81255207549
"Salazar-Ciudad I., Jernvall J.","6603206943;6603722003;","A computational model of teeth and the developmental origins of morphological variation",2010,"Nature","464","7288",,"583","586",,178,"10.1038/nature08838",2-s2.0-77950095599
"Singleton M., Rosenberger A.L., Robinson C., O'neill R.","15826887700;7006701962;36343849300;35178210200;","Allometric and Metameric Shape Variation in Pan Mandibular Molars: A Digital Morphometric Analysis",2011,"Anatomical Record","294","2",,"322","334",,31,"10.1002/ar.21315",2-s2.0-78651455354
