Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Otárola-Castillo E.","7404054540;25629989200;","Geomorph: An r package for the collection and analysis of geometric morphometric shape data",2013,"Methods in Ecology and Evolution","4","4",,"393","399",,795,"10.1111/2041-210X.12035",2-s2.0-84875761771
"Albrecht G.H.","7102097193;","Assessing the affinities of fossils using canonical variates and generalized distances",1992,"Human Evolution","7","4",,"49","69",,50,"10.1007/BF02436412",2-s2.0-51649138090
"Anderson P.C.","16067835800;","A testimony of prehistoric tasks: Diagnostic residues on stone tool working edges",1980,"World Archaeology","12","2",,"181","194",,120,"10.1080/00438243.1980.9979791",2-s2.0-0019178417
"Angelucci D.E., Anesin D., López Martínez M., Haber Uriarte M., Rodríguez Estrella T., Walker M.J.","17343332900;55634978700;37097634100;37096887800;6506760619;55461477600;","Rethinking stratigraphy and site formation of the Pleistocene deposit at Cueva Negra del Estrecho del Río Quípar (Caravaca de la Cruz, Spain)",2013,"Quaternary Science Reviews","80",,,"195","199",,8,"10.1016/j.quascirev.2013.09.009",2-s2.0-84886247737
"Arriaza M.C., Yravedra J., Domínguez-Rodrigo M., Mate-González M.Á., García Vargas E., Palomeque-González J.F., Aramendi J., González-Aguilera D., Baquedano E.","56786056800;56962776200;6603679662;56780291300;57192955709;56780262200;55827562600;24477009700;36237883200;","On applications of micro-photogrammetry and geometric morphometrics to studies of tooth mark morphology: The modern Olduvai Carnivore Site (Tanzania)",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology","488",,,"103","112",,32,"10.1016/j.palaeo.2017.01.036",2-s2.0-85013104677
"Asfaw B., Beyene Y., Suwa G., Walter R.C., White T.D., Woldegabriel G., Yemane T.","7004420438;6603755127;6603844265;57203199929;35427764800;6603789752;6506295323;","The earliest Acheulean from Konso-Gardula",1992,"Nature","360","6406",,"732","735",,220,"10.1038/360732a0",2-s2.0-0027008498
"Bar-Yosef O., Goren-Inbar N.","",[No title available],1993,"The Lithic Assemblages of 'Ubeidiya, a Lower Paleolithic Site in the Jordan Valley",,,,"","",,187,,2-s2.0-0003440737
"Bello S.M., Soligo C.","10139236300;55853593700;","A new method for the quantitative analysis of cutmark micromorphology",2008,"Journal of Archaeological Science","35","6",,"1542","1552",,133,"10.1016/j.jas.2007.10.018",2-s2.0-41949102484
"Bello S.M., Parfitt S.A., Stringer C.","10139236300;6602684782;7005875885;","Quantitative micromorphological analyses of cut marks produced by ancient and modern handaxes",2009,"Journal of Archaeological Science","36","9",,"1869","1880",,124,"10.1016/j.jas.2009.04.014",2-s2.0-67649580782
"Beyene Y., Katoh S., Woldegabriel G., Hart W.K., Uto K., Sudo M., Kondo M., Hyodo M., Renne P.R., Suwa G., Asfaw B.","6603755127;7202864453;6603789752;57212956767;57208490851;7102210423;8901887900;36776444500;7006738539;6603844265;7004420438;","The characteristics and chronology of the earliest Acheulean at Konso, Ethiopia",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","5",,"1584","1591",,173,"10.1073/pnas.1221285110",2-s2.0-84873168564
"Binford L.R.","","An Archaeological Perspective",1972,"An Archaeological Perspective",,,,"","",,196,,2-s2.0-0003912710
