Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Andersen S.H.","","The Mesolithic-Neolithic transition in western Denmark seen from a kitchen midden perspective: A survey",2008,"Analecta Praehistorica Ledensia","40",,,"67","74",,13,,2-s2.0-81055148360
"Andersen S.H.","","First pottery in Southern Scandinavia",2010,"Pots, Farmers and Foragers","20",,,"167","176",,4,,2-s2.0-81055154085
"Whittle A., Cummings V.","","Going Over: The Mesolithic-Neolithic Transition in North-West Europe",2007,"Going Over: The Mesolithic-Neolithic Transition in North-West Europe",,,,"441","492",,23,,2-s2.0-69849084861
"Rowley-Conwy P.","57204378841;","How the west was lost: A reconsideration of agricultural origins in Britain, Ireland, and Southern Scandinavia",2004,"Current Anthropology","45","4 SUPPL.",,"S83","S113",,119,,2-s2.0-14744289932
"Colledge S., Conolly J.","",[No title available],2007,"The Origins and Spread of Domestic Plants in Southwest Asia and Europe",,,,"","",,75,,2-s2.0-57049147553
"Rowley-Conwy P.","57204378841;","Westward Ho!: The spread of agriculture from central Europe to the Atlantic",2011,"Current Anthropology","52","SUPPL. 4",,"S431","S451",,103,"10.1086/658368",2-s2.0-80054922763
"Woodman P., McCarthy M.","","Contemplating some awful(ly interesting) vistas: Importing cattle and red deer into prehistoric Ireland",2003,"Neolithic Settlement in Ireland and Western Britain",,,,"31","39",,32,,2-s2.0-33646809152
"Tresset A.","",[No title available],2003,"Neolithic Settlement in Ireland and Western Britain",,,,"18","30",,1,,2-s2.0-84893357241
"Whittle A., Cummings V.","","Going Over: The Mesolithic-Neolithic Transition in North-West Europe",2007,"Going Over: The Mesolithic-Neolithic Transition in North-West Europe",,,,"441","492",,23,,2-s2.0-69849084861
"Whittle A., Cummings V.","","Going Over: The Mesolithic-Neolithic Transition in North-West Europe",2007,"Going Over: The Mesolithic-Neolithic Transition in North-West Europe",,,,"441","492",,23,,2-s2.0-69849084861
"Klassen L.","",[No title available],2004,"Jade und Kupfer: Untersuchungen Zum Neolithisierungsprozess Im Westlichen Ostseeraum Unter Besonderer Berücksichtigung der Kulturentwicklung Europas 5500-3500 BC","47",,,"","",,1,,2-s2.0-84893410612
"Dolukhanov P., Shukurov A., Gronenborn D., Sokoloff D., Timofeev V., Zaitseva G.","6602788185;7006743838;25624531900;7004815109;57207783258;7103339265;","The chronology of Neolithic dispersal in Central and Eastern Europe",2005,"Journal of Archaeological Science","32","10",,"1441","1458",,64,"10.1016/j.jas.2005.03.021",2-s2.0-22144489825
"Whittle A., Cummings V.","","Going Over: The Mesolithic-Neolithic Transition in North-West Europe",2007,"Going Over: The Mesolithic-Neolithic Transition in North-West Europe",,,,"441","492",,23,,2-s2.0-69849084861
"Craig O.E., Steele V.J., Fischer A., Hartz S., Andersen S.H., Donohoe P., Glykou A., Saul H., Jones D.M., Koch E., Heron C.P.","7004388517;26038765300;12142586200;23979952900;8117803900;57209502607;36158174300;54414815100;57195789225;16022352400;7005512509;","Ancient lipids reveal continuity in culinary practices across the transition to agriculture in Northern Europe",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","44",,"17910","17915",,89,"10.1073/pnas.1107202108",2-s2.0-81055145482
