Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Andrés M., Gidna A.O., Yravedra J., Domínguez-Rodrigo M.","57207157518;55123224100;56962776200;6603679662;","A study of dimensional differences of tooth marks (pits and scores) on bones modified by small and large carnivores",2012,"Archaeological and Anthropological Sciences","4","3",,"209","219",,75,"10.1007/s12520-012-0093-4",2-s2.0-84872451132
"Aramendi J., Uribelarrea D., Arriaza M.C., Arráiz H., Barboni D., Yravedra J., Ortega M.C., Gidna A., Mabulla A., Baquedano E., Domínguez-Rodrigo M.","55827562600;6507093504;56786056800;57188867521;55881667400;56962776200;26039376000;55123224100;18133831000;36237883200;6603679662;","The paleoecology and taphonomy of AMK (Bed I, Olduvai Gorge) and its contributions to the understanding of the “Zinj” paleolandscape",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology","488",,,"35","49",,14,"10.1016/j.palaeo.2017.02.036",2-s2.0-85014308665
"Arilla M., Rosell J., Blasco R., Domínguez-Rodrigo M., Pickering T.R.","56041917200;35747067100;23099008800;6603679662;35570740600;","The ""bear"" essentials: Actualistic research on Ursus arctos arctos in the Spanish Pyrenees and its implications for paleontology and archaeology",2014,"PLoS ONE","9","7", e102457,"","",,40,"10.1371/journal.pone.0102457",2-s2.0-84904340529
"Arriaza M.C., Yravedra J., Domínguez-Rodrigo M., Mate-González M.Á., García Vargas E., Palomeque-González J.F., Aramendi J., González-Aguilera D., Baquedano E.","56786056800;56962776200;6603679662;56780291300;57192955709;56780262200;55827562600;24477009700;36237883200;","On applications of micro-photogrammetry and geometric morphometrics to studies of tooth mark morphology: The modern Olduvai Carnivore Site (Tanzania)",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology","488",,,"103","112",,32,"10.1016/j.palaeo.2017.01.036",2-s2.0-85013104677
"Arribas A., Díez J.C., Jordá F.J.","","Primeras ocupaciones en los depósitos pleistocenos de la Cueva de los Torrejones (Sistema Central español, Tamajón, Guadalajara): Litoestratigrafía y actividad biológica",1997,"Cuaternario y Geomorfología","11","1-2",,"55","66",,22,,2-s2.0-25144489461
"Auguste P.","","Chasse et charognage au Paléolithique moyen: l'apport du gisement de Biache-Saint-Vaast (Pas-de-Calais)",1995,"Bulletin de la Société Préhistorique Française","92","2",,"155","167",,72,,2-s2.0-0001427657
"Baquedano E., Domínguez-Rodrigo M., Musiba C.","36237883200;6603679662;6505461049;","An experimental study of large mammal bone modification by crocodiles and its bearing on the interpretation of crocodile predation at FLK Zinj and FLK NN3",2012,"Journal of Archaeological Science","39","6",,"1728","1737",,31,"10.1016/j.jas.2012.01.010",2-s2.0-84860649559
"Bastir M., O'Higgins P., Rosas A.","6603088960;7004722122;7005126537;","Facial ontogeny in Neanderthals and modern humans",2007,"Proceedings of the Royal Society B: Biological Sciences","274","1614",,"1125","1132",,76,"10.1098/rspb.2006.0448",2-s2.0-34447330673
"Bello S.M.","10139236300;","New Results from the Examination of Cut-Marks Using Three-Dimensional Imaging",2011,"Developments in Quaternary Science","14","C",,"249","262",,32,"10.1016/B978-0-444-53597-9.00013-3",2-s2.0-78049463323
"Bello S.M., Soligo C.","10139236300;55853593700;","A new method for the quantitative analysis of cutmark micromorphology",2008,"Journal of Archaeological Science","35","6",,"1542","1552",,133,"10.1016/j.jas.2007.10.018",2-s2.0-41949102484
"Bello S.M., Saladié P., Cáceres I., Rodríguez-Hidalgo A., Parfitt S.A.","10139236300;16639666300;6602553935;36140426200;6602684782;","Upper Palaeolithic ritualistic cannibalism at Gough's Cave (Somerset,UK): THE human remains from head to toe",2015,"Journal of Human Evolution","82",,,"170","189",,37,"10.1016/j.jhevol.2015.02.016",2-s2.0-84928702476
"Binford L.R.","",[No title available],1981,"Bones: Ancient Men and Modern Myths",,,,"","",,1762,,2-s2.0-0003747768
"Blasco M.F.","7006946737;","In the pursuit of game: The Mousterian cave site of Gabasa 1 in the Spanish Pyrenees",1997,"Journal of Anthropological Research","53","2",,"177","217",,33,"10.1086/jar.53.2.3631276",2-s2.0-0037921758
"Blasco R., Rosell J., Arsuaga J.L., Bermúdez de Castro J.M., Carbonell E.","23099008800;35747067100;6506247114;7003670066;7004942023;","The hunted hunter: The capture of a lion (Panthera leo fossilis) at the Gran Dolina site, Sierra de Atapuerca, Spain",2010,"Journal of Archaeological Science","37","8",,"2051","2060",,39,"10.1016/j.jas.2010.03.010",2-s2.0-77954030965
"Bookstein F.L.","7004606384;","Principal Warps: Thin-Plate Splines and the Decomposition of Deformations",1989,"IEEE Transactions on Pattern Analysis and Machine Intelligence","11","6",,"567","585",,1254,"10.1109/34.24792",2-s2.0-79957563017
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Brain C.K.","",[No title available],1981,"The Hunters or the Hunted? An Introduction to African Cave Taphonomy",,,,"","",,1268,,2-s2.0-0003560905
"Brugal J.-P., Fosse P.","6602794927;6701650026;","Carnivores and humans in West European quarternary [Carnivores et hommes au quaternaire en Europe de l'quest]",2004,"Revue de Paleobiologie","23","2",,"575","595",,40,,2-s2.0-17744372063
"Bruner E.","6701840150;","Geometric morphometrics and paleoneurology: Brain shape evolution in the genus Homo",2004,"Journal of Human Evolution","47","5",,"279","303",,173,"10.1016/j.jhevol.2004.03.009",2-s2.0-7544235223
"Buchanan B., Collard M.","11241802300;7102608373;","A geometric morphometrics-based assessment of blade shape differences among Paleoindian projectile point types from western North America",2010,"Journal of Archaeological Science","37","2",,"350","359",,71,"10.1016/j.jas.2009.09.047",2-s2.0-70449670300
"Camarós E., Cueto M., Lorenzo C., Villaverde V., Rivals F.","45561000100;55425563900;35346371000;6602353430;22136269300;","Large carnivore attacks on hominins during the Pleistocene: a forensic approach with a Neanderthal example",2016,"Archaeological and Anthropological Sciences","8","3",,"635","646",,14,"10.1007/s12520-015-0248-1",2-s2.0-84984656455
"Chacón M.G., Détroit F., Coudenneau A., Moncel M.-H.","11240229900;57202311017;26033507000;6602599048;","Morphometric assessment of convergent tool technology and function during the early middle Palaeolithic: The case of Payre, France",2016,"PLoS ONE","11","5", e0155316,"","",,12,"10.1371/journal.pone.0155316",2-s2.0-84971273458
"Charlin J., Llosas M.I.H.","26658892500;55981910600;","Geometric morphometrics and rock art: Exploring landmark-based methods [Morfometría geométrica y representaciones rupestres: Explorando las aplicaciones de los métodos basados en landmarks]",2016,"Arqueologia","22","1",,"103","125",,4,,2-s2.0-84983433376
"Coard R.","6508304267;","Ascertaining an agent: using tooth pit data to determine the carnivore/s responsible for predation in cases of suspected big cat kills in an upland area of Britain",2007,"Journal of Archaeological Science","34","10",,"1677","1684",,19,"10.1016/j.jas.2006.12.006",2-s2.0-34547095746
"Cobb S.N., O'Higgins P.","16745091800;7004722122;","Hominins do not share a common postnatal facial ontogenetic shape trajectory",2004,"Journal of Experimental Zoology Part B: Molecular and Developmental Evolution","302","3",,"302","321",,79,"10.1002/jez.b.21005",2-s2.0-3042761101
[No author name available],[No author id available],[No title available],2015,"A Language and Environment for Statistical Computing",,,,"","",,227,,2-s2.0-84966573111
"Delaney-Rivera C., Plummer T.W., Hodgson J.A., Forrest F., Hertel F., Oliver J.S.","6507552548;7006149395;34978403300;34978400500;6701520367;24299647700;","Pits and pitfalls: taxonomic variability and patterning in tooth mark dimensions",2009,"Journal of Archaeological Science","36","11",,"2597","2608",,111,"10.1016/j.jas.2009.08.001",2-s2.0-69749117728
"Diedrich C.G.","7004886000;","Cave bear killers and scavengers from the last ice age of central Europe: Feeding specializations in response to the absence of mammoth steppe fauna from mountainous regions",2012,"Quaternary International","255",,,"59","78",,24,"10.1016/j.quaint.2011.06.048",2-s2.0-84857446924
"Diedrich C.G.","7004886000;","‘Neanderthal bone flutes’: Simply products of Ice Age spotted hyena scavenging activities on cave bear cubs in European cave bear dens",2015,"Royal Society Open Science","2","4", 140022,"","",16,12,"10.1098/rsos.140022",2-s2.0-84958073467
