Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"AgiSoft PhotoScan Professional","","(Version 1.4.3) (Software)",2018,,,,,"","",,1,,2-s2.0-85067180276
"Baylac M., Friess M.","","Fourier descriptors, Procrustes superimposition, and data dimensionality: An example of cranial shape analysis in modern human populations",2005,"Modern Morphometrics in Physical Anthropology",,,,"145","165",,90,,2-s2.0-14744301944
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Carey J.W., Steegmann A.T., Jr.","7402685876;6701741906;","Human nasal protrusion, latitude, and climate",1981,"American Journal of Physical Anthropology","56","3",,"313","319",,68,"10.1002/ajpa.1330560312",2-s2.0-0019808130
"Collard M., Wood B.","7102608373;7401873883;","Hominin homoiology: An assessment of the impact of phenotypic plasticity on phylogenetic analyses of humans and their fossil relatives",2007,"Journal of Human Evolution","52","5",,"573","584",,39,"10.1016/j.jhevol.2006.11.018",2-s2.0-34247551829
"Evin A., Souter T., Hulme-Beaman A., Ameen C., Allen R., Viacava P., Larson G., Cucchi T., Dobney K.","23977570900;36549247200;36627224600;57190193977;55356426100;57190186640;8280762100;6506822509;6602595568;","The use of close-range photogrammetry in zooarchaeology: Creating accurate 3D models of wolf crania to study dog domestication",2016,"Journal of Archaeological Science: Reports","9",,,"87","93",,29,"10.1016/j.jasrep.2016.06.028",2-s2.0-84978225025
"Franciscus R.G., Long J.C.","6602421109;57201837138;","Variation in human nasal height and breadth",1991,"American Journal of Physical Anthropology","85","4",,"419","427",,114,"10.1002/ajpa.1330850406",2-s2.0-0026349581
"Gunz P., Bookstein F.L., Mitteroecker P., Stadlmayr A., Seidler H., Weber G.W.","6506472733;7004606384;6507135382;26536780900;7004117563;7402213147;","Early modern human diversity suggests subdivided population structure and a complex out-of-Africa scenario",2009,"Proceedings of the National Academy of Sciences of the United States of America","106","15",,"6094","6098",,140,"10.1073/pnas.0808160106",2-s2.0-65549154351
"Harvati K., Weaver T.D.","","Reliability of cranial morphology in reconstructing Neanderthal phylogeny",2006,"Neanderthals Revisited: New Approaches and Perspectives",,,,"239","254",,5,,2-s2.0-33845433338
"Harvati K., Weaver T.D.","57203032637;57214027910;","Human cranial anatomy and the differential preservation of population history and climate signatures",2006,"Anatomical Record - Part A Discoveries in Molecular, Cellular, and Evolutionary Biology","288","12",,"1225","1233",,227,"10.1002/ar.a.20395",2-s2.0-33845396793
"Hennessy R.J., Stringer C.B.","7003506255;7005875885;","Geometric morphometric study of the regional variation of modern human craniofacial form",2002,"American Journal of Physical Anthropology","117","1",,"37","48",,68,"10.1002/ajpa.10005",2-s2.0-0036136606
"Höss M., Jaruga P., Zastawny T.H., Dizdaroglu M., Pääbo S.","6603955835;7003834140;7004925291;35591877500;7006151134;","DNA damage and DMA sequence retrieval from ancient tissues",1996,"Nucleic Acids Research","24","7",,"1304","1307",,269,"10.1093/nar/24.7.1304",2-s2.0-0029925452
"Howells W.W.","","Cranial Variation in Man. A Study by Multivariate Analysis of Patterns of Difference Among Recent Human Populations",1973,"Cranial Variation in Man",,,,"","",,423,,2-s2.0-0003834718
"Howells W.W.","","Skull shapes and the map: Craniometric analyses in the dispersion of modern Homo",1989,"Skull Shapes and the Map: Craniometric Analyses in the Dispersion of Modern Homo",,,,"","",,269,,2-s2.0-0004028778
"Hubbe M., Hanihara T., Harvati K.","10338946900;7003959650;57203032637;","Climate signatures in the morphological differentiation of worldwide modern human populations",2009,"Anatomical Record","292","11",,"1720","1733",,123,"10.1002/ar.20976",2-s2.0-70449643229
