Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Aaris-Sørensen K.","6507185122;","Diversity and dynamics of the mammalian fauna in Denmark throughout the last glacial-interglacial cycle, 115-0 kyr BP",2009,"Fossils and Strata",,"57",,"1","59",,51,,2-s2.0-78650571993
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","A field comes of age: Geometric morphometrics in the 21st century",2013,"Hystrix","24","1",,"","",,304,"10.4404/hystrix-24.1-6283",2-s2.0-84875767161
"Baylac M.","","Rmorph: A R geometric and multivariate morphometrics library.",2012,"Rmorph: A R Geometric and Multivariate Morphometrics Library",,,,"","",,57,,2-s2.0-55349130219
"Baylac M., Friess M.","","Fourier descriptors, Procrustes superimposition, and data dimensionality: An example of cranial shape analysis in modern human populations",2005,"Modern Morphometrics in Physical Anthropology",,,,"145","165",,90,,2-s2.0-14744301944
"Bilton D.T., Mirol P.M., Mascheretti S., Fredga K., Zima J., Searle J.B.","55667424600;6602639282;6602730813;7006774613;55665003200;7102976955;","Mediterranean Europe as an area of endemism for small mammals rather than a source for northwards postglacial colonization",1998,"Proceedings of the Royal Society B: Biological Sciences","265","1402",,"1219","1226",,241,"10.1098/rspb.1998.0423",2-s2.0-0032493475
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8",2-s2.0-0031107378
"Callou C., Vigne J.-D.","","Analyse de la faune de deux silos gallo-romains à Canet-en-Roussillon",2013,"Vestiges d'un habitat de l'époque romaine et d'un lieu funéraire du haut Moyen Age. Pyrénées-Orientales (66) Canet-en-Roussillon, Puig del Bajà I (fouilles de 1992, 1994 et 2001)",,,,"76","81",,2,,2-s2.0-85056848684
"Campbell N.A., Atchley W.R.","","The geometry of canonical variate analysis",1981,"Systematic Zoology","30","3",,"268","280",,164,,2-s2.0-0000116015
"Cersoy S., Zazzo A., Lebon M., Rofes J., Zirah S.","37002626200;6602317727;24279797500;14619640800;6508336079;","Collagen Extraction and Stable Isotope Analysis of Small Vertebrate Bones: A Comparative Approach",2017,"Radiocarbon","59","3",,"679","694",,14,"10.1017/RDC.2016.82",2-s2.0-85020503225
"Cersoy S., Zazzo A., Rofes J., Tresset A., Zirah S., Gauthier C., Kaltnecker E., Thil F., Tisnerat-Laborde N.","37002626200;6602317727;14619640800;6506727552;6508336079;55066160000;6505532922;55859840200;6602891881;","Radiocarbon dating minute amounts of bone (3-60 mg) with ECHoMICADAS",2017,"Scientific Reports","7","1", 7645,"","",,9,"10.1038/s41598-017-07645-3",2-s2.0-85026816021
