Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Ahler S.A., Geib P.R.","15737913500;14823055800;","Why flute? Folsom point design and adaptation",2000,"Journal of Archaeological Science","27","9",,"799","820",,66,"10.1006/jasc.1999.0503",2-s2.0-0033800443
"Andrews B.N., Knell E.J., Eren M.I.","26661326100;6701544051;23975681200;","The three lives of a uniface",2015,"Journal of Archaeological Science","54","1",,"228","236",,11,"10.1016/j.jas.2014.11.034",2-s2.0-84929627624
"Aneja D., Vora S.R., Camci E.D., Shapiro L.G., Cox T.C.","56902504700;56197552000;55903052000;7402091493;53979641500;","Automated detection of 3D landmarks for the elimination of non-biological variation in geometric morphometric analyses",2015,"Proceedings - IEEE Symposium on Computer-Based Medical Systems","2015-July",, 7167461,"78","83",,6,"10.1109/CBMS.2015.86",2-s2.0-84944188557
"Archer W., Braun D.R.","35085743300;23972180300;","Variability in bifacial technology at Elandsfontein, Western cape, South Africa: a geometric morphometric approach",2010,"Journal of Archaeological Science","37","1",,"201","209",,74,"10.1016/j.jas.2009.09.033",2-s2.0-70350780084
"Barrientos G.","","On the problem of identifying homologies in lithic artifacts",2010,"Argentine Archaeology and the Legacy of Charles Darwin",,,,"","",,1,,2-s2.0-85059294937
"Beck C., Jones G.T.","","Early Paleoarchaic point morphology and chronology",2007,"Paleoindian or paleoarchaic? Great Basin human ecology at the Pleistocene-Holocene transition",,,,"23","41",,31,,2-s2.0-53349123460
"Bettinger R.L., Baumhoff M.A.","7003807566;23085088000;","The numic spread: Great Basin cultures in competition",1982,"American Antiquity","47","3",,"485","503",,207,"10.2307/280231",2-s2.0-85038011776
"Binford L.R.","24350669500;","Archaeology as Anthropology",1962,"American Antiquity","28","2",,"217","225",,616,"10.2307/278380",2-s2.0-85041926106
"Binford L.R.","24350669500;","A consideration of archaeological research design",1964,"American Antiquity","29","4",,"425","441",,167,"10.2307/277978",2-s2.0-84944429802
"Binford L.R.","24350669500;","Archaeological systematics and the study of culture process",1965,"American Antiquity","31","2Part1",,"203","210",,240,"10.2307/2693985",2-s2.0-85041908440
"Binford L.R.","","Data, relativism and archaeological science",1987,"Man","22","3",,"391","404",,60,,2-s2.0-84935640337
"Bleed P.","57204378192;","The optimal design of hunting weapons: Maintainability or reliability",1986,"American Antiquity","51","4",,"737","747",,322,"10.2307/280862",2-s2.0-84991253179
"Bookstein F.L.","","Introduction and overview: Geometry and biology",1990,"Proc. Michigan Morphometrics Workshop",,,,"61","74",,15,,2-s2.0-0002451346
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8",2-s2.0-0031107378
"Bookstein F.L.","7004606384;","A hundred years of morphometrics",1998,"Acta Zoologica Academiae Scientiarum Hungaricae","44","1-2",,"7","59",,71,,2-s2.0-0032325057
"Bookstein F.L., Strauss R.E., Humphries J.M., Chernoff B., Elder R.L., Smith G.R.","7004606384;7202966775;57212711333;6602488185;7101671644;55740938800;","A Comment upon the Uses of Fourier Methods in Systematics",1982,"Systematic Biology","31","1",,"85","92",,65,"10.1093/sysbio/31.1.85",2-s2.0-84936361778
"Boyd R., Richerson P.J.","",[No title available],1985,"Culture and the Evolutionary Process",,,,"","",,3939,,2-s2.0-0004245022
"Broughton J.M.","56624127300;","Prey spatial structure and behavior affect archaeological tests of optimal foraging models: Examples from the Emeryville Shellmound vertebrate fauna",2002,"World Archaeology","34","1",,"60","83",,94,"10.1080/00438240220134269",2-s2.0-0036290181
