Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Aschero C.A.","",[No title available],1988,"El Sitio ICC4: Un Asentamiento precerámico En La Quebrado De Inca Cueva (Jujuy, Argentina)",,,,"","",,1,,2-s2.0-85051678541
"Aschero C.A., Manzi L., Gomez A.G.","","Producción lítica y uso del espacio en el nivel 2b4 de Quebrada seca 3. Relaciones 19",1994,"Sociedad Argentina De Antropología",,,,"","",,1,,2-s2.0-85051678784
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8",2-s2.0-0031107378
"Brande S., Saragusti I.","","Amorphometric model and landmark analysis of acheulian hand axes from Norhern Israel",1996,"Advances in Morphometrics",,,,"423","435",,14,,2-s2.0-33751048406
"Boyd R., Richerson P.J.","",[No title available],1985,"Culture and the Evolutionary Process",,,,"","",,3939,,2-s2.0-0004245022
"Brande S., Saragusti I.","","Graphic visualization of handaxes and other artifacts",1999,"Near Eastern Archaeology","62","4",,"242","245",,5,,2-s2.0-84889820081
"Buchanan B.","11241802300;","An analysis of Folsom projectile point resharpening using quantitative comparisons of form and allometry",2006,"Journal of Archaeological Science","33","2",,"185","199",,69,"10.1016/j.jas.2005.07.008",2-s2.0-30544454646
"Cardillo M.","","Explorando la variación en las morfologías líticas a partir de la técnicas de análisis de contornos. El caso de las puntas de proyectil del holoceno medio-tardío de la Puna de Salta (San Antonio de los Cobres, Argentina)",2005,"Werken","7","2",,"77","88",,12,,2-s2.0-84889785619
"Cardillo M., Charlin J.","","Tendencias observadas en la variabilidad de los raspadores de norte y sur de Patagonia",2009,"Explorando las Inte-rrelaciones Entre Forma, Tamaño e Historia de Vida","2",,,"351","359",,13,,2-s2.0-84889767300
"Argentina Cardillo M.","",[No title available],2009,"Variabilidad En La Manufactura Y diseño De Artefactos En El área Costera patagónica",,,,"","",,1,,2-s2.0-85051627121
"Castiñeira C., Cardillo M., Charlin J., Fernicola J.C., Baeza J.","","Análisis morfométrico de cabezales líticos ""cola de pescado"" de la Rep. Oriental del Uruguay",2009,"Arqueometría Latinoamericana. 2do. Congreso Argentino y 1ro Latinoamericano, Buenos Aires","2",,,"360","366",,5,,2-s2.0-84895727449
"Cavalli-Sforza L.L., Feldman M.W.","",[No title available],1981,"Cultural Transmission and Evolution: A Quantitative Approach",,,,"","",,2016,,2-s2.0-0003583653
"Crompton R.H., Gowlett J.A.J.","7004564287;6603228354;","Allometry and multidimensional form in Acheulean bifaces from Kilombe, Kenya",1993,"Journal of Human Evolution","25","3",,"175","199",,66,"10.1006/jhev.1993.1043",2-s2.0-0027714286
"Dunnell R.C.","","Systematics in Prehistory",1971,"Systematics in Prehistory",,,,"","",,185,,2-s2.0-0004120167
"Dunnell R.C.","6508303387;","Style and Function: A Fundamental Dichotomy",1978,"American Antiquity","43","2",,"192","202",,233,"10.2307/279244",2-s2.0-0038852766
"Eerkens J.W.","","Practice makes within 5% of perfect: Visual perception, motor skills, and memory in artifact variation",2000,"Current Anthropology","41","4",,"663","668",,69,,2-s2.0-84937332853
"Eerkens J.W., Bettinger R.L.","6701660369;7003807566;","Techniques for assessing standardization in artifact assemblages: Can we scale material variability?",2001,"American Antiquity","66","3",,"493","504",,105,"10.2307/2694247",2-s2.0-0141588338
"Ferson S., Rohlf F.J., Koehn R.K.","","Measuring shape variation of two-dimensional outlines",1985,"Systematic Zoology","34",,,"59","68",,292,,2-s2.0-0002666024
"Franco N.V., Cardillo M., Borrero L.A.","","Una aproximación a la variabilidad presente en las puntas denominadas Bird IV",2005,"Werken","6","1",,"81","95",,10,,2-s2.0-77951170394
"Franco N.V., Castro A., Cardillo M., Charlin J.","7006226402;51460995100;57212772096;26658892500;","The value of morphological, metrical and microwear variables in order to evaluate differences in the design of bifacial stemmed projectile points: An example from the south of continental patagonia [La importancia de las variables morfológicas, métricas y de microdesgaste para evaluar las diferencias en diseños de puntas de proyectil bifaciales pedunculadas: Un ejemplo del sur de patagonia continental]",2009,"Magallania","37","1",,"99","112",,13,"10.4067/S0718-22442009000100008",2-s2.0-77951202640
"Gero J., Mazzullo J.","21233708700;6701408345;","Analysis of artifact shape using fourier series in closed form",1984,"Journal of Field Archaeology","11","3",,"315","322",,32,"10.1179/009346984791535467",2-s2.0-84974919616
"Grosman L., Smikt O., Smilansky U.","25636007900;24492599300;7003922083;","On the application of 3-D scanning technology for the documentation and typology of lithic artifacts",2008,"Journal of Archaeological Science","35","12",,"3101","3110",,79,"10.1016/j.jas.2008.06.011",2-s2.0-51249089236
"Hammer Ø., Harper D.A.T., Ryan P.D.","25624260900;55745283900;7402922193;","Past: Paleontological statistics software package for education and data analysis",2001,"Palaeontologia Electronica","4","1",,"XIX","XX",,14157,,2-s2.0-34748886657
"Hiscock P., Attenbrow V.","8636765800;16549195500;","Early Australian implement variation: A reduction model",2003,"Journal of Archaeological Science","30","2",,"239","249",,60,"10.1006/jasc.2002.0830",2-s2.0-0037309685
"Hiscock P.","","Looking the other way. A materialist/technological approach to classifying tools and implements, cores and retouched flakes",2007,"Tools Versus Cores: Alternative Approaches to Stone Tool Analysis",,,,"198","222",,38,,2-s2.0-43449086719
"Hiscock P., Clarkson C.","8636765800;36885327100;","Experimental evaluation of Kuhn's geometric index of reduction and the flat-flake problem",2005,"Journal of Archaeological Science","32","7",,"1015","1022",,67,"10.1016/j.jas.2005.02.002",2-s2.0-20444416710
"Kuhl F.P., Giardina C.R.","7003979887;35548158500;","Elliptic Fourier features of a closed contour",1982,"Computer Graphics and Image Processing","18","3",,"236","258",,1114,"10.1016/0146-664X(82)90034-X",2-s2.0-0019999399
"Lycett S.J., von Cramon-Taubadel N., Foley R.A.","9434693200;23471109300;7102887389;","A crossbeam co-ordinate caliper for the morphometric analysis of lithic nuclei: A description, test and empirical examples of application",2006,"Journal of Archaeological Science","33","6",,"847","861",,77,"10.1016/j.jas.2005.10.014",2-s2.0-33645078897
"Marcus L.F.","","Traditional morphometrics",1990,"Proceedings of the Michigan Morphometrics Workshop",,,,"77","122",,294,,2-s2.0-0002275679
"Martínez J.","",[No title available],1997,"Estrategias y técnicas de caza. Análisis tipológico-tecnológico de proyectiles arqueológicos",,,,"","",,3,,2-s2.0-84873851986
"Martínez J.G.","","Puntas de proyectil, diseño y materias primas",1999,"Los Tres Reinos: prácticas De recolección En El Cono Sur De América",,,,"61","69",,2,,2-s2.0-85051645172
"Nami H.G.","6508301586;","Research in the middle Negro River basin (Uruguay) and the paleoindian occupation of the Southern Cone",2007,"Current Anthropology","48","1",,"164","174",,31,"10.1086/510465",2-s2.0-33846820465
"Peres-Neto P.R., Jackson D.A.","6602082463;7404288035;","How well do multivariate data sets match? The advantages of a procrustean superimposition approach over the Mantel test",2001,"Oecologia","129","2",,"169","178",,519,"10.1007/s004420100720",2-s2.0-0034782527
"Ratto N.","","Estrategias de caza y propiedades del registro arqueológico en la Puna de Chaschuil (Dpto. de Tinogasta, Catamarca, Argentina)",2003,"Estrategias de caza y propiedades de registro arqueológico en la Puna de Chaschuil",,,,"","",,39,,2-s2.0-34249896049
"Rohlf F.J.","","Fitting curves to outlines",1990,"Proceedings of the Michigan Morphometrics Workshop",,,,"167","177",,124,,2-s2.0-0000690066
"Rohlf F.J.","","Relative warp analysis and an example of its application to mosquito wings",1993,"Contributions to Morphometrics",,,,"131","159",,446,,2-s2.0-0001118169
"Rohlf F.J.","","Review of ""Fourier descriptors and their applications in biology""",1998,"Bull. Math. Biol.","60",,,"604","605",,2,,2-s2.0-85030432546
"Rohlf F.J.","7003281107;","Shape statistics: Procrustes superimpositions and tangent spaces",1999,"Journal of Classification","16","2",,"197","223",,537,"10.1007/s003579900054",2-s2.0-0033235691
"Rohlf F.J., Corti M.","7003281107;56232198800;","Use of two-block partial least-squares to study covariation in shape",2000,"Systematic Biology","49","4",,"740","753",,459,"10.1080/106351500750049806",2-s2.0-0034351393
"Rohlf F.J.","",[No title available],2006,"TpsDig, Version 2.10",,,,"","",,561,,2-s2.0-46749110881
"Rohlf F.J.","7003281107;","Geometric morphometrics and phylogeny",2003,"Morphology, Shape and Phylogeny",,,,"175","193",,118,"10.1201/9780203165171",2-s2.0-85056403742
"Rohlf F.J., Bookstein F.L.","7003281107;7004606384;","Computing the uniform component of shape variation",2003,"Systematic Biology","52","1",,"66","69",,110,"10.1080/10635150390132759",2-s2.0-0037292484
"Saitou N., Nei M.","7005896538;7102222781;","The neighbor-joining method: a new method for reconstructing phylogenetic trees.",1987,"Molecular biology and evolution","4","4",,"406","425",,43533,,2-s2.0-0023375195
"Scartascini F.L., Cardillo M.","","Explorando la variabilidad métrica y morfológica de las ""pesas líticas"" recuperadas en el sector norte de la costa del golfo San Matías",2009,"Arqueometría latinoamericana: Segundo Congreso Argentino y Primero Latinoamericano","1",,,"162","168",,15,,2-s2.0-80051796862
"Saragusti I., Sharon I., Katzenelson O., Avnir D.","6508203860;6603369776;6506892493;7006164534;","Quantitative analysis of the symmetry of artefacts: Lower Paleolithic handaxes",1998,"Journal of Archaeological Science","25","8",,"817","825",,57,"10.1006/jasc.1997.0265",2-s2.0-0002206879
