Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Ackermann R.R., Krovitz G.E.","7202506415;6506541494;","Common patterns of facial ontogeny in the hominid lineage",2002,"Anatomical Record","269","3",,"142","147",,76,"10.1002/ar.10119",2-s2.0-0037096292
"Athreya S.","6603544268;","Patterning of geographic variation in Middle Pleistocene Homo frontal bone morphology",2006,"Journal of Human Evolution","50","6",,"627","643",,16,"10.1016/j.jhevol.2005.11.005",2-s2.0-33747326900
"Athreya S.","6603544268;","A comparative study of frontal bone morphology among Pleistocene hominin fossil groups",2009,"Journal of Human Evolution","57","6",,"786","804",,22,"10.1016/j.jhevol.2009.09.003",2-s2.0-70449710749
"Bailey S., Glantz M., Weaver T.D., Viola B.","7401729489;7007022400;57214027910;24176248700;","The affinity of the dental remains from Obi-Rakhmat Grotto, Uzbekistan",2008,"Journal of Human Evolution","55","2",,"238","248",,35,"10.1016/j.jhevol.2008.03.004",2-s2.0-48349124304
"Bastir M., Rosas A.","6603088960;7005126537;","Comparative ontogeny in humans and chimpanzees: Similarities, differences and paradoxes in postnatal growth and development of the skull",2004,"Annals of Anatomy","186","5-6",,"503","509",,20,"10.1016/S0940-9602(04)80096-7",2-s2.0-11244319438
"Bastir M., Rosas A.","6603088960;7005126537;","Facial heights: Evolutionary relevance of postnatal ontogeny for facial orientation and skull morphology in humans and chimpanzees",2004,"Journal of Human Evolution","47","5",,"359","381",,95,"10.1016/j.jhevol.2004.08.009",2-s2.0-7544237617
"Bastir M., O'Higgins P., Rosas A.","6603088960;7004722122;7005126537;","Facial ontogeny in Neanderthals and modern humans",2007,"Proceedings of the Royal Society B: Biological Sciences","274","1614",,"1125","1132",,76,"10.1098/rspb.2006.0448",2-s2.0-34447330673
"Bayle P., Braga J., Mazurier A., Macchiarelli R.","35434353800;7004881640;15725533700;6701717392;","Dental developmental pattern of the Neanderthal child from Roc de Marsal: a high-resolution 3D analysis",2009,"Journal of Human Evolution","56","1",,"66","75",,50,"10.1016/j.jhevol.2008.09.002",2-s2.0-56349113274
"Bayle P., Macchiarelli R., Trinkaus E., Duarte C., Mazurier A., Zilhão J.","35434353800;6701717392;7005369128;7202476636;15725533700;6603255535;","Dental maturational sequence and dental tissue proportions in the early Upper Paleolithic child from Abrigo do Lagar Velho, Portugal",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","4",,"1338","1342",,52,"10.1073/pnas.0914202107",2-s2.0-76549103471
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8",2-s2.0-0031107378
"Bookstein F., Schäfer K., Prossinger H., Seidler H., Fieder M., Stringer C., Weber G.W., Arsuaga J.-L., Slice D.E., James Rohlf F., Recheis W., Mariam A.J., Marcus L.F.","7004606384;7203052425;6701769032;7004117563;6508098023;7005875885;7402213147;6506247114;6603334019;24518567800;6701361082;6602569377;7005305240;","Comparing frontal cranial profiles in archaic and modern homo by morphometric analysis",1999,"Anatomical Record","257","6",,"217","224",,230,"10.1002/(SICI)1097-0185(19991215)257:6<217::AID-AR7>3.0.CO;2-W",2-s2.0-0033572638
"Bookstein F.L., Gunz P., Mittercker P., Prossinger H., Schæfer K., Seidler H.","7004606384;6506472733;6504786305;6701769032;7201525302;7004117563;","Cranial integration in Homo: Singular warps analysis of the midsagittal plane in ontogeny and evolution",2003,"Journal of Human Evolution","44","2",,"167","187",,251,"10.1016/S0047-2484(02)00201-4",2-s2.0-0037307376
"Buikstra J.E., Ubelaker D.H.","","Standards for data collection from human skeletal remains",1994,"Standards for Data Collection from Human Skeletal Remains",,,,"","",,2464,,2-s2.0-0003655056
