Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Anderson A.","7403368938;","Inshore or offshore? Boating and fishing in the Pleistocene",2013,"Antiquity","87","337",,"879","884",,13,"10.1017/S0003598X0004953X",2-s2.0-84883285449
"Anderson A.","7403368938;","Response to O'Connor and ono, bailey and erlandson",2013,"Antiquity","87","337",,"892","895",,4,"10.1017/S0003598X00049589",2-s2.0-84883306322
"Baab K.L., Mcnulty K.P., Rohlf F.J.","23388659700;7004717904;7003281107;","The shape of human evolution: A geometric morphometrics perspective",2012,"Evolutionary Anthropology","21","4",,"151","165",,36,"10.1002/evan.21320",2-s2.0-84865331150
"Blumenschine R.J., Marean C.W., Capaldo S.D.","6602434690;6701351179;6602666562;","Blind tests of inter-analyst correspondence and accuracy in the identification of cut marks, percussion marks, and carnivore tooth marks on bone surfaces",1996,"Journal of Archaeological Science","23","4",,"493","507",,328,"10.1006/jasc.1996.0047",2-s2.0-0000445678
"Bookstein F.L.","7004606384;","Size and shape spaces for landmark data in two dimensions",1986,"Statistical Science","1","2",,"181","222",,385,"10.1214/ss/1177013696",2-s2.0-84972512610
"Bookstein Fred L.","7004606384;","Landmark methods for forms without landmarks: localizing group differences in outline shape",1996,"Proceedings of the Workship on Mathematical Methods in Biomedical Image Analysis",,,,"279","289",,42,,2-s2.0-0029695060
"Butler V.L.","7005923694;","Natural versus cultural salmonid remains: Origin of the dalles roadcut bones, Columbia river, Oregon, U.S.A",1993,"Journal of Archaeological Science","20","1",,"1","24",,76,"10.1006/jasc.1993.1001",2-s2.0-0027386370
"Cucchi T., Fujita M., Dobney K.","6506822509;18041913000;6602595568;","New insights into pig taxonomy, domestication and human dispersal in Island South East Asia: Molar shape analysis of Sus remains from Niah Caves, Sarawak",2009,"International Journal of Osteoarchaeology","19","4",,"508","530",,55,"10.1002/oa.974",2-s2.0-70349639859
"De Schepper N., Adriaens D., Teugels G.G., Devaere S., Verraes W.","","Shape variation in the vertebrae of Anguilliform Clariidae (Ostariophysi: Siluriformes): a useful tool for taxonomy?",2007,"J. Afrotropical Zool.",,,,"57","71",,1,,2-s2.0-85054169278
"Desse G., Desse J.","","Diagnostic des pièces rachidiennes des Téléostéens et des Chondrichtyens",1976,"Expans. Sci.","3",,,"1","108",,2,,2-s2.0-85030434973
"Drake A.G.","23008538800;","Dispelling dog dogma: An investigation of heterochrony in dogs using 3D geometric morphometric analysis of skull shape",2011,"Evolution and Development","13","2",,"204","213",,62,"10.1111/j.1525-142X.2011.00470.x",2-s2.0-79952716462
"Drake A.G., Klingenberg C.P.","23008538800;7004588456;","Large-scale diversification of skull shape in domestic dogs: Disparity and modularity",2010,"American Naturalist","175","3",,"289","301",,206,"10.1086/650372",2-s2.0-77949511896
"Duarte M.R., Tubino R.A., Monteiro-Neto C., Martins R.R.M., Vieira F.C., Andrade-Tubino M.F., Silva E.P.","57189378179;53878751300;6507982959;57193215154;57193207818;57103848000;7201854868;","Genetic and morphometric evidence that the jacks (Carangidae) fished off the coast of Rio de Janeiro (Brazil) comprise four different species",2017,"Biochemical Systematics and Ecology","71",,,"78","86",,1,"10.1016/j.bse.2017.01.013",2-s2.0-85011632904
"Evin A., Cucchi T., Cardini A., Strand Vidarsdottir U., Larson G., Dobney K.","23977570900;6506822509;21933368100;55349385000;8280762100;6602595568;","The long and winding road: Identifying pig domestication through molar size and shape",2013,"Journal of Archaeological Science","40","1",,"735","743",,87,"10.1016/j.jas.2012.08.005",2-s2.0-84867907430
"Eschmeyer W.N.","",[No title available],2013,"Catalog of Fishes",,,,"","",,598,,2-s2.0-53649110275
"Fish P.R.","7005747457;","Consistency in archaeological measurement and classification: A pilot study",1978,"American Antiquity","43","1",,"86","89",,46,"10.2307/279635",2-s2.0-0008387394
"Froese R., Pauly D.","",[No title available],2003,"FishBase",,,,"","",,2791,,2-s2.0-0004048250
"Gabriel S., Prista N., Costa M.J.","55222024200;7801572702;35350539100;","Estimating meagre (Argyrosomus regius) size from otoliths and vertebrae",2012,"Journal of Archaeological Science","39","9",,"2859","2865",,11,"10.1016/j.jas.2012.04.046",2-s2.0-84862150469
"Guillaud E., Cornette R., Béarez P.","56324128400;6506350460;55906893100;","Is vertebral form a valid species-specific indicator for salmonids? The discrimination rate of trout and Atlantic salmon from archaeological to modern times",2016,"Journal of Archaeological Science","65",,,"84","92",,7,"10.1016/j.jas.2015.11.010",2-s2.0-84949036039
"Gómez-Robles A., Martinón-Torres M., Bermúdez de Castro J.M., Margvelashvili A., Bastir M., Arsuaga J.L., Pérez-Pérez A., Estebaranz F., Martínez L.M.","19638655200;6505967345;7003670066;19639204400;6603088960;6506247114;7003385730;13004474600;8208322800;","A geometric morphometric analysis of hominin upper first molar shape",2007,"Journal of Human Evolution","53","3",,"272","285",,116,"10.1016/j.jhevol.2007.02.002",2-s2.0-34548239743
"Granadeiro J.P., Silva M.A.","6603758245;17135969500;","The use of otoliths and vertebrae in the identification and size-estimation of fish in predator-prey studies",2000,"Cybium","24","4",,"383","393",,55,,2-s2.0-0034736481
"Gruwier B., de Vos J., Kovarovic K.","56638580200;35950638700;15827625200;","Exploration of the taxonomy of some Pleistocene Cervini (Mammalia, Artiodactyla, Cervidae) from Java and Sumatra (Indonesia): Ageometric- and linear morphometric approach",2015,"Quaternary Science Reviews","119",,,"35","53",,6,"10.1016/j.quascirev.2015.04.012",2-s2.0-84929120734
"Hammer O., Harper D.A.T.","25624260900;55745283900;","Paleontological Data Analysis",2007,"Paleontological Data Analysis",,,,"1","351",,299,"10.1002/9780470750711",2-s2.0-84889782006
"Hammer Ø., Harper D.A.T., Ryan P.D.","25624260900;55745283900;7402922193;","Past: Paleontological statistics software package for education and data analysis",2001,"Palaeontologia Electronica","4","1",,"XIX","XX",,14157,,2-s2.0-34748886657
"Ibáñez A.L.","56013853600;","Fish traceability: Guessing the origin of fish from a seafood market using fish scale shape",2015,"Fisheries Research","170",,,"82","88",,6,"10.1016/j.fishres.2015.05.016",2-s2.0-84930635670
"Ibañez A.L., Cowx I.G., O'Higgins P.","7005052944;56284380100;7004722122;","Geometric morphometric analysis of fish scales for identifying genera, species, and local populations within the Mugilidae",2007,"Canadian Journal of Fisheries and Aquatic Sciences","64","8",,"1091","1100",,53,"10.1139/F07-075",2-s2.0-35549009830
"Klingenberg C.P.","7004588456;","MorphoJ: An integrated software package for geometric morphometrics",2011,"Molecular Ecology Resources","11","2",,"353","357",,1766,"10.1111/j.1755-0998.2010.02924.x",2-s2.0-78650839801
"Lambrides A.B.J., Weisler M.I.","55932745800;6603286939;","Assessing Protocols for Identifying Pacific Island Archaeological Fish Remains: The Contribution of Vertebrae",2015,"International Journal of Osteoarchaeology","25","6",,"838","848",,20,"10.1002/oa.2354",2-s2.0-84954402771
"Lambrides A.B.J., Weisler M.I.","55932745800;6603286939;","Applications of vertebral morphometrics in Pacific Island archaeological fishing studies",2015,"Archaeology in Oceania","50","2",,"53","70",,15,"10.1002/arco.5059",2-s2.0-84937140914
"Lambrides A.B.J., Weisler M.I.","55932745800;6603286939;","Pacific Islands Ichthyoarchaeology: Implications for the Development of Prehistoric Fishing Studies and Global Sustainability",2016,"Journal of Archaeological Research","24","3",,"275","324",,18,"10.1007/s10814-016-9090-y",2-s2.0-84976384078
"Lauder G.V.","7005105910;","Fish locomotion: Recent advances and new directions",2015,"Annual Review of Marine Science","7",,,"521","545",,72,"10.1146/annurev-marine-010814-015614",2-s2.0-84948614412
"Lockwood C.A., Lynch J.M., Kimbel W.H.","7102516713;25934906700;6603930109;","Quantifying temporal bone morphology of great apes and humans: An approach using geometric morphometrics",2002,"Journal of Anatomy","201","6",,"447","464",,87,"10.1046/j.1469-7580.2002.00122.x",2-s2.0-18744389738
"Lyman R.L., VanPool T.L.","57203868775;14055200600;","Metric data in archaeology: A study of intra-analyst and inter-analyst variation",2009,"American Antiquity","74","3",,"485","504",,34,"10.1017/S0002731600048721",2-s2.0-69249177080
