Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Otárola-Castillo E.","7404054540;25629989200;","Geomorph: An r package for the collection and analysis of geometric morphometric shape data",2013,"Methods in Ecology and Evolution","4","4",,"393","399",,795,"10.1111/2041-210X.12035",2-s2.0-84875761771
"Aoudia-Chouakri L.","","Pratiques funéraires complexes: réévaluation archéo-anthropologique des contextes Ibéromaurusiens et Capsiens (paléolithique supérieur et épipaléolithique, Afrique du nord-ouest)",2013,"Pratiques Funéraires Complexes: Réévaluation Archéo-anthropologique des Contextes Ibéromaurusiens et Capsiens. Paléolithique Supérieur et Épipaléolithique, Afrique du Nord-Ouest",,,,"","",,9,,2-s2.0-84892475965
"Bergström A., Nagle N., Chen Y., McCarthy S., Pollard M.O., Ayub Q., Wilcox S., Wilcox L., Van Oorschot R.A.H., McAllister P., Williams L., Xue Y., John Mitchell R., Tyler-Smith C.","55498277900;35725907500;12777422000;8988938300;56463621700;6602356251;56353766600;56992563200;7003561375;55960563800;56991974400;7402270896;7403973821;57204334101;","Deep roots for aboriginal australian y chromosomes",2016,"Current Biology","26","6",,"809","813",,24,"10.1016/j.cub.2016.01.028",2-s2.0-84959135817
"Betti L., Balloux F., Hanihara T., Manica A.","26429046600;6701693410;7003959650;6603416293;","The relative role of drift and selection in shaping the human skull",2010,"American Journal of Physical Anthropology","141","1",,"76","82",,67,"10.1002/ajpa.21115",2-s2.0-74749090938
"Beyin A.","","Recent archaeological survey and excavation around the Greater Kalokol Area, west side of Lake Turkana: preliminary findings",2011,"Nyame Akuma","75",,,"40","50",,11,,2-s2.0-84861945399
"Bookstein F.L.","7004606384;","Principal Warps: Thin-Plate Splines and the Decomposition of Deformations",1989,"IEEE Transactions on Pattern Analysis and Machine Intelligence","11","6",,"567","585",,1254,"10.1109/34.24792",2-s2.0-79957563017
"Brass M.","55916337600;","The Southern Frontier of the Meroitic State: The View from Jebel Moya",2014,"African Archaeological Review","31","3",,"425","445",,6,"10.1007/s10437-014-9164-5",2-s2.0-85027955431
"Brass M., Schwenniger J.-L.","55916337600;16040321200;","Jebel Moya (Sudan): New dates from a mortuary complex at the southern Meroitic frontier",2013,"Azania","48","4",,"455","472",,11,"10.1080/0067270X.2013.843258",2-s2.0-84890441648
"Bricker H.M., Mellars P.A.","","Datation C14 de l'abri Pataud (Les Eyzies, Dordogne) par le procédé « Accélérateur-Spectromètre de masse »",1987,"L'Anthropologie","91","1",,"227","234",,18,,2-s2.0-0042958062
"Buikstra J.E., Ubelaker D.H.","","Standards for data collection from human skeletal remains",1994,"Standards for Data Collection from Human Skeletal Remains",,,,"","",,2464,,2-s2.0-0003655056
