Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Barral Ph.","","Quelques traits remarquables de la composition et de l'évolution du vaisselier à La Tène finale en pays éduen",2002,"Repas des Vivants et Nourriture Pour les Morts en Gaule. Actes du 25e Colloque de l'Afeaf, CharlevilleMézières 2001. Mémoires de la Société Archéologique Champenoise","16",,,"157","165",,3,,2-s2.0-79953376808
"Barral P.","","L'habitat rural de La Tène finale dans les plaines de SaÔne et du Doubs: données socio-économiques et culturelles",2005,"Archéologia Mosellana","6",,,"239","274",,2,,2-s2.0-84904286744
"Barral P., Huet N.","","La céramique peinte gauloise dans la Vallée de la SaÔne: Groupes techno-typologiques, économie de la production et modes de diffusion",2006,"Artisanat, sociétés et civilisations: hommage à Jean-Paul Thevenot. Revue Archéologique de l'Est, supplément 24",,,,"473","491",,1,,2-s2.0-85030443621
"Barral P., Luginbühl T., Huet N., Oberli D., Reymond S., Reymondin S., Wagner C.","",[No title available],1995,"Typologie des Formes de Céramique Régionale de Bibracte",,,,"","",,3,,2-s2.0-79953601421
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8",2-s2.0-0031107378
"Brande S., Saragusti I.","","Amorphometric model and landmark analysis of acheulian hand axes from Norhern Israel",1996,"Advances in Morphometrics",,,,"423","435",,14,,2-s2.0-33751048406
"Buchanan B.","11241802300;","An analysis of Folsom projectile point resharpening using quantitative comparisons of form and allometry",2006,"Journal of Archaeological Science","33","2",,"185","199",,69,"10.1016/j.jas.2005.07.008",2-s2.0-30544454646
"Buchanan B., Collard M.","11241802300;7102608373;","Investigating the peopling of North America through cladistic analyses of Early Paleoindian projectile points",2007,"Journal of Anthropological Archaeology","26","3",,"366","393",,104,"10.1016/j.jaa.2007.02.005",2-s2.0-34548042992
"Buchanan B., Collard M.","11241802300;7102608373;","A geometric morphometrics-based assessment of blade shape differences among Paleoindian projectile point types from western North America",2010,"Journal of Archaeological Science","37","2",,"350","359",,71,"10.1016/j.jas.2009.09.047",2-s2.0-70449670300
"Buxeda i Garrigós J., Gordaliza A.V.","","Morphometrics and compositional classes. The study of anthropomorphic sculptures from Teotihuacan (México)",2011,"Proceedings of the 4th International Workshop on Compositional Data Analysis. Barcelona",,,,"1","21",,3,,2-s2.0-84904299619
"Camiz Z., Rova E., Tulli V.","","Quantitative study of images in Archaeology: II. Symbolic Coding",2003,"Between Data Science and Applied Data Analysis",,,,"633","642",,2,,2-s2.0-84904290633
"Claude J.","","Morphometrics with R",2008,"Morphometrics with R",,,,"","",,263,,2-s2.0-67349169356
"Dommergues C.H., Dommergues J.-L., Verrecchia E.P.","15126488200;7005205355;7003408769;","The discrete cosine transform, a Fourier-related method for morphometric analysis of open contours",2007,"Mathematical Geology","39","8",,"749","763",,12,"10.1007/s11004-007-9124-6",2-s2.0-36749021180
"Drennan R.D.","6507744665;","A Refinement of Chronological Seriation Using Nonmetric Multidimensional Scaling",1976,"American Antiquity","41","3",,"274","289",,23,"10.2307/279517",2-s2.0-0346540511
"Duff A.I.","23477016800;","Ceramic micro-seriation: Types or attributes?",1996,"American Antiquity","61","1",,"89","101",,38,"10.2307/282304",2-s2.0-0042202418
"Forel B., Gabillot M., Monna F., Forel S., Dommergues C.H., Gerber S., Petit C., Mordant C., Chateau C.","23485048300;36902120100;7003488151;25824843100;15126488200;57212766815;57196977730;15136707800;23484256000;","Morphometry of Middle Bronze Age palstaves by Discrete Cosine Transform",2009,"Journal of Archaeological Science","36","3",,"721","729",,10,"10.1016/j.jas.2008.10.021",2-s2.0-58149457354
"Fraley C., Raftery A.E.","6603951109;7006212242;","How many clusters? Which clustering method? Answers via model-based cluster analysis",1998,"Computer Journal","41","8",,"586","588",,1357,,2-s2.0-0032269108
"Fraley C., Raftery A.E.","6603951109;7006212242;","Model-based methods of classification: Using the mclust software in chemometrics",2007,"Journal of Statistical Software","18","6",,"1","13",,153,"10.18637/jss.v018.i06",2-s2.0-33846820527
"Fraley C., Raftery A.E., Murphy T.B., Scrucca L.","","Mclust version 4 for r: Normal mixture modeling for model-based clustering, classification, and density estimation",2012,"Mclust Version 4 for R: Normal Mixture Modeling for Model-Based Clustering, Classification, and Density Estimation",,,,"","",,582,,2-s2.0-84869235386
"Gilboa A., Karasik A., Sharon I., Smilansky U.","6603034742;23976049900;6603369776;7003922083;","Towards computerized typology and classification of ceramcis",2004,"Journal of Archaeological Science","31","6",,"681","694",,57,"10.1016/j.jas.2003.10.013",2-s2.0-1942488915
"Gower J.C.","","A general coefficient of similarity and some of its properties",1971,"Biometrics","27",,,"857","871",,2116,,2-s2.0-0001330098
"Hodson F.R.","23054977900;","Searching for structure within multivariate archaeological data",1969,"World Archaeology","1","1",,"90","105",,30,"10.1080/00438243.1969.9979430",2-s2.0-84914255704
"Hodson F.R.","23054977900;","Cluster analysis and archaeology: Some new developments and applications",1970,"World Archaeology","1","3",,"299","320",,33,"10.1080/00438243.1970.9979449",2-s2.0-84877311161
"Hodson F.R., Sneath P.H.A., Doran J.E.","","Some experiments in the numerical analysis of archaeological data",1966,"Biometrika","53","3-4",,"311","324",,33,,2-s2.0-0041642284
"Hurth E., Montuire S., Schmittbuhl M., Schaaf A., Viriot L., Chaline J.","","Examination of the tooth morphospace of three Mimomys lineages (Arvicolinae, Rodentia) by elliptical Fourier methods",2014,"Coloq. Paleontol.","1",,,"325","334",,7,,2-s2.0-6344284158
"Jackson D.A.","7404288035;","PROTEST: A PROcrustacean Randomization TEST of community environment concordance",1995,"Ecoscience","2","3",,"297","303",,296,"10.1080/11956860.1995.11682297",2-s2.0-0028981619
"Karasik A., Smilansky U.","23976049900;7003922083;","3D scanning technology as a standard archaeological tool for pottery analysis: practice and theory",2008,"Journal of Archaeological Science","35","5",,"1148","1168",,98,"10.1016/j.jas.2007.08.008",2-s2.0-40749146688
"Karasik A., Smilansky U.","23976049900;7003922083;","Computerized morphological classification of ceramics",2011,"Journal of Archaeological Science","38","10",,"2644","2657",,41,"10.1016/j.jas.2011.05.023",2-s2.0-80051797642
"Kendall D.G.","23064672000;","Some problems and methods in statistical archaeology",1969,"World Archaeology","1","1",,"68","76",,40,"10.1080/00438243.1969.9979428",2-s2.0-84945600417
"Kendall D.G.","","Seriation from abundance matrices",1971,"Mathematics in the Archaeological and Historical Sciences",,,,"215","252",,124,,2-s2.0-0001774385
"Kuhl F.P., Giardina C.R.","7003979887;35548158500;","Elliptic Fourier features of a closed contour",1982,"Computer Graphics and Image Processing","18","3",,"236","258",,1114,"10.1016/0146-664X(82)90034-X",2-s2.0-0019999399
"Legendre P., Legendre L.","",[No title available],1998,"Numerical Ecology",,,,"","",,11412,,2-s2.0-0004170691
"Lestrel P.E.","6701804260;","Method for analyzing complex two‐dimensional forms: Elliptical Fourier functions",1989,"American Journal of Human Biology","1","2",,"149","164",,65,"10.1002/ajhb.1310010204",2-s2.0-84995217176
"Lestrel P.E., Cesar Jr. R.M., Takahashi O., Kanazawa E.","6701804260;6603875187;7102789552;7003371932;","A Fourier-wavelet representation of 2-D shapes: Sexual dimorphism in the Japanese cranial base",2004,"Anthropological Science","112","1",,"3","28",,9,"10.1537/ase.00069",2-s2.0-3142516474
