Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Otárola-Castillo E.","7404054540;25629989200;","Geomorph: An r package for the collection and analysis of geometric morphometric shape data",2013,"Methods in Ecology and Evolution","4","4",,"393","399",,795,"10.1111/2041-210X.12035",2-s2.0-84875761771
"Bello S.M., Soligo C.","10139236300;55853593700;","A new method for the quantitative analysis of cutmark micromorphology",2008,"Journal of Archaeological Science","35","6",,"1542","1552",,133,"10.1016/j.jas.2007.10.018",2-s2.0-41949102484
"Bello S.M., De Groote I., Delbarre G.","10139236300;35791611100;55609071600;","Application of 3-dimensional microscopy and micro-CT scanning to the analysis of Magdalenian portable art on bone and antler",2013,"Journal of Archaeological Science","40","5",,"2464","2476",,46,"10.1016/j.jas.2012.12.016",2-s2.0-84874404546
"Bello S.M., Parfitt S.A., Stringer C.","10139236300;6602684782;7005875885;","Quantitative micromorphological analyses of cut marks produced by ancient and modern handaxes",2009,"Journal of Archaeological Science","36","9",,"1869","1880",,124,"10.1016/j.jas.2009.04.014",2-s2.0-67649580782
"Boschin F., Crezzini J.","52263086000;20435708700;","Morphometrical Analysis on Cut Marks Using a 3D Digital Microscope",2012,"International Journal of Osteoarchaeology","22","5",,"549","562",,54,"10.1002/oa.1272",2-s2.0-84867331436
"Braun D.R., Pante M., Archer W.","",[No title available],2017,"Cut marks on bone surfaces: influences on variation in the form of traces of ancient behaviour",,,,"","",,1,,2-s2.0-85046512924
"Choi K., Driwantoro D.","14824760700;11641211500;","Shell tool use by early members of Homo erectus in Sangiran, central Java, Indonesia: cut mark evidence",2007,"Journal of Archaeological Science","34","1",,"48","58",,73,"10.1016/j.jas.2006.03.013",2-s2.0-33749342977
[No author name available],[No author id available],"R: A language and environment for statistical computing",2015,"R: A Language and Environment for Statistical Computing",,,,"","",,25329,,2-s2.0-84964927929
"de Juana S., Galán A.B., Domínguez-Rodrigo M.","11839691900;25723149700;6603679662;","Taphonomic identification of cut marks made with lithic handaxes: An experimental study",2010,"Journal of Archaeological Science","37","8",,"1841","1850",,75,"10.1016/j.jas.2010.02.002",2-s2.0-77953959327
"Dewbury A.G., Russell N.","","Relative frequency of butchering cutmarks produced by obsidian and flint: an experimental approach",2007,"Journal of Archaeological Science","34","3",,"354","357",,51,,2-s2.0-35248872374
"Diez-Martin F., Sanchez Yustos P., Domínguez-Rodrigo M., Mabulla A.Z.P., Bunn H.T., Ashley G.M., Barba R., Baquedano E.","24823717300;24825724000;6603679662;18133831000;7103073015;7004452828;21734480700;36237883200;","New insights into hominin lithic activities at FLK North Bed I, Olduvai Gorge, Tanzania",2010,"Quaternary Research","74","3",,"376","387",,35,"10.1016/j.yqres.2010.07.019",2-s2.0-78649326660
"Domínguez-Rodrigo M., de Juana S., Galán A.B., Rodríguez M.","6603679662;11839691900;25723149700;57197402162;","A new protocol to differentiate trampling marks from butchery cut marks",2009,"Journal of Archaeological Science","36","12",,"2643","2654",,255,"10.1016/j.jas.2009.07.017",2-s2.0-70349783751
"Fernández-Jalvo Y., Díez J.C., Cáceres I., Rosell J.","6603680696;7006280825;6602553935;35747067100;","Human cannibalism in the Early Pleistocene of Europe (Gran Dolina, Sierra de Atapuerca, Burgos, Spain)",1999,"Journal of Human Evolution","37","3-4",,"591","622",,144,"10.1006/jhev.1999.0324",2-s2.0-0037946406
"González-Aguilera D., Guerrero D., Hernández-López D., Rodríguez-Gonzálvez P., Pierrot M., Fernández-Hernández J.","","PW, Photogrammetry Workbench.",2013,"PW, Photogrammetry Workbench",,,,"","",,8,,2-s2.0-84908355470
"González-Aguilera D., López-Fernández L., Rodríguez-González P., Guerrero-Sevilla D., Hernández-López D., Menna F., Nocerino E., Toschi I., Remondino F., Ballabeni A., Gaiani M.","",[No title available],2016,"Development of an all-purpose free photogrammetric tool, Paper presented at the XXIII ISPRS Congress, 12–19 July 2016",,,,"","",,1,,2-s2.0-85046513667
"González-Aguilera D., López-Fernández L., Rodríguez-González P., Guerrero-Sevilla D., Hernández-López D., Menna F., Nocerino E., Toschi I., Remondino F., Ballabeni A., Gaiani M.","",[No title available],2016,"InteGRAted PHOtogrammetric Suite, GRAPHOS, Paper presented at the CATCON7–ISPRS Congress, 12–19 July 2016",,,,"","",,1,,2-s2.0-85046509661
"Greenfield H.J.","7005963340;","The origins of metallurgy: Distinguishing stone from metal cut-marks on bones from archaeological sites",1999,"Journal of Archaeological Science","26","7",,"797","808",,119,"10.1006/jasc.1998.0348",2-s2.0-0033405768
"Greenfield H.J.","","Distinguishing metal (steel and low-tin bronze) from stone (flint and obsidian) tool cut marks on bone: An experimental approach",2002,"Experimental Archaeology: Replicating Past Objects, Behaviors and Processes",,,,"35","54",,14,,2-s2.0-24744438253
"Greenfield H.J.","","The butchered animal bone remains from Ashqelon, Afridar- Area G",2004,"Antiqot","45",,,"243","261",,18,,2-s2.0-41949134973
"Greenfield H.J.","","The butchered animal bones from Newe Yam, a submerged pottery Neolithic site off the Carmel Coast",2006,"J. Israel Prehist. Soc.","36",,,"173","200",,18,,2-s2.0-41949097258
"Greenfield H.J.","7005963340;","Slicing cut marks on animal bones: Diagnostics for identifying stone tool type and raw material",2006,"Journal of Field Archaeology","31","2",,"147","163",,56,"10.1179/009346906791071972",2-s2.0-40849125229
"Güth A.","55234210500;","Using 3D scanning in the investigation of Upper Palaeolithic engravings: First results of a pilot study",2012,"Journal of Archaeological Science","39","10",,"3105","3114",,18,"10.1016/j.jas.2012.04.029",2-s2.0-84864388370
"Hannus L.A.","","Mammoth Hunting in the New World",1990,"Hunters of the Recent Past",,,,"47","67",,15,,2-s2.0-2842575127
"Hay R.L.","",[No title available],1976,"Geology of the Olduvai Gorge",,,,"","",,490,,2-s2.0-0003904043
"Hayden B.","",[No title available],1979,"Lithic use-wear analysis, Proceedings of the Conference on Lithic Technology, Burnaby, Canada, 16–20 March 1977",,,,"","",,1,,2-s2.0-85046510072
"Keeley L.H.","",[No title available],1980,"Experimental Determination of Stone Tool Uses: A Microwear Analysis",,,,"","",,695,,2-s2.0-0003436999
"Knauth L.P.","6701420008;","Petrogenesis of chert",2019,"Silica: Physical Behavior, Geochemistry, and Materials Applications","29",,,"233","258",,146,"10.1515/9781501509698",2-s2.0-85061113976
"Luhmann T., Robson S., Kyle S., Boehm J.","",[No title available],2014,"Close-Range Photogrammetry and 3D Imaging",,,,"","",,270,,2-s2.0-84906683753
"Maté-González M.Á., Palomeque-González J.F., Yravedra J., González-Aguilera D., Domínguez-Rodrigo M.","56780291300;56780262200;56962776200;24477009700;6603679662;","Micro-photogrammetric and morphometric differentiation of cut marks on bones using metal knives, quartzite, and flint flakes",2018,"Archaeological and Anthropological Sciences","10","4",,"805","816",,31,"10.1007/s12520-016-0401-5",2-s2.0-85030220578
"Maté González M.T., Yravedra J., González-Aguilera D., Palomeque-González J.F., Domínguez-Rodrigo M.","56780291300;56962776200;24477009700;56780262200;6603679662;","Micro-photogrammetric characterization of cut marks on bones",2015,"Journal of Archaeological Science","62",,,"128","142",,58,"10.1016/j.jas.2015.08.006",2-s2.0-84939196614
"Montani I., Sapin E., Sylvestre R., Marquis R.","35185500400;53164605900;55293843100;8326464900;","Analysis of Roman pottery graffiti by high resolution capture and 3D laser profilometry",2012,"Journal of Archaeological Science","39","11",,"3349","3353",,12,"10.1016/j.jas.2012.06.011",2-s2.0-84864323721
"Olsen S.L.","","The identification of stone and metal tool marks on bone artifacts",1988,"Scanning Electron Microscopy in Archaeology","452",,,"337","360",,56,,2-s2.0-0004401480
"Palomeque-González J.F., Maté-González M.Á., Yravedra J., Juan-Blazquez M.S., Vargas E.G., Martín-Perea D.M., Estaca-Gómez V., González-Aguilera D., Domínguez-Rodrigo M.","56780262200;56780291300;56962776200;57193680115;57193682334;57192089446;57188553158;24477009700;6603679662;","Pandora: A new morphometric and statistical software for analysing and distinguishing cut marks on bones",2017,"Journal of Archaeological Science: Reports","13",,,"60","66",,11,"10.1016/j.jasrep.2017.03.033",2-s2.0-85015732269
"Perlès C.","","Économie des matières premières et économie du débitage: Deux conceptions opposées?",1991,"25 Ans d'Études Technologiques en Préhistoire. Bilan et Perspectives",,,,"35","45",,70,,2-s2.0-63649153597
"Rohlf F.J.","7003281107;","The tps series of software",2015,"Hystrix","26","1",,"1","4",,216,"10.4404/hystrix-26.1-11264",2-s2.0-84936938125
"Sahnouni M., Schick K., Toth N.","6603358545;7003617855;6603562638;","An experimental investigation into the nature of faceted limestone ""spheroids"" in the early palaeolithic",1997,"Journal of Archaeological Science","24","8",,"701","713",,55,"10.1006/jasc.1996.0152",2-s2.0-0031451726
"Yustos S., Policarpio F., Domínguez-Rodrigo M., Vinagre A.","","Discriminación experimental de los rasgos técnicos en la talla bipolar y a mano alzada en lascas a través de los cuarzos de Naibor Soit (Garganta de Olduvai, Tanzania)",2012,"Munibe","63",,,"5","26",,11,,2-s2.0-84893818515
"Santonja M., Panera J., Rubio-Jara S., Pérez-González A., Uribelarrea D., Domínguez-Rodrigo M., Mabulla A.Z.P., Bunn H.T., Baquedano E.","6507934601;36438531500;36438705600;55148343400;6507093504;6603679662;18133831000;7103073015;36237883200;","Technological strategies and the economy of raw materials in the TK (Thiongo Korongo) lower occupation, Bed II, Olduvai Gorge, Tanzania",2014,"Quaternary International","322-323",,,"181","208",,26,"10.1016/j.quaint.2013.10.069",2-s2.0-84893865608
"Semenov S.A.","",[No title available],1964,"Prehistoric Technology",,,,"","",,469,,2-s2.0-0004168479
"Sherratt E.","",[No title available],2014,"Quick Guide to Geomorph v. 2.0",,,,"","",,10,,2-s2.0-84939166964
"Shipman P., Rose J.","7004475336;7404390659;","Early hominid hunting, butchering, and carcass-processing behaviors: Approaches to the fossil record",1983,"Journal of Anthropological Archaeology","2","1",,"57","98",,322,"10.1016/0278-4165(83)90008-9",2-s2.0-0002170703
"Shipman P., Rose J.J.","","Bone tools: An experimental approach",1988,"Scanning Electron Microscopy in Archaeology","452",,,"303","335",,74,,2-s2.0-0000207553
"Spennerman D.H.R.","","Don't forget the bamboo on recognising and interpretating butchery narcks in tropical faunal assemblages some comments asking for cauting",1990,"Problems Solving Taphonomy Tempus","2",,,"80","101",,9,,2-s2.0-85015750752
"Venables W.N., Ripley B.D.","",[No title available],1994,"Modern Applied Statistics with S-Plus",,,,"","",,14918,,2-s2.0-0003895851
"Walker P.L.","7403666247;","Butchering and Stone Tool Function",1978,"American Antiquity","43","4",,"710","715",,63,"10.2307/279502",2-s2.0-84972320449
"West J.A., Louys J.","7402746626;15136337000;","Differentiating bamboo from stone tool cut marks in the zooarchaeological record, with a discussion on the use of bamboo knives",2007,"Journal of Archaeological Science","34","4",,"512","518",,52,"10.1016/j.jas.2006.06.007",2-s2.0-33845506176
