Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Amick D.S., Hofman J.L., Rose R.O.","","The Shifting Sands Folsom-Midland site in Texas",1989,"Current Research in the Pleistocene","6",,,"1","3",,7,,2-s2.0-30544445026
"Andrefsky Jr. W.","16201699100;","The analysis of stone tool procurement, production, and maintenance",2009,"Journal of Archaeological Research","17","1",,"65","103",,147,"10.1007/s10814-008-9026-2",2-s2.0-58149337366
"Beal K.G., Khamis H.J.","","A problem in statistical analysis: Simultaneous inference",1991,"Condor","93",,,"1023","1025",,41,,2-s2.0-0001095512
"Bement L.C.","",[No title available],1999,"Bison Hunting at Cooper Site: Where Lightning Bolts Drew Thundering Herds",,,,"","",,92,,2-s2.0-0007841847
"Bement L.C.","","View from a kill: The Cooper site Folsom lithic assemblages",1999,"Folsom Lithic Assemblages",,,,"111","121",,13,,2-s2.0-0005659544
"Boldurian A.T.","","Lithic Technology at the Mitchell Locality of Blackwater Draw: A Stratified Folsom Site in Eastern New Mexico",1990,"Plains Anthropologist",,"130",,"","",,21,,2-s2.0-0012220156
"Boldurian A.T., Cotter J.L.","","Clovis Revisited: New Perspectives on Paleoindian Adaptations from Blackwater Draw",1999,"Clovis Revisited: New Perspectives on Paleoindian Adaptations from Blackwater Draw, New Mexico",,,,"","",,82,,2-s2.0-0003685379
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
[No author name available],[No author id available],[No title available],1985,"Special Publications","15",,,"","",,1,,2-s2.0-85030446365
"Buchanan B.","11241802300;","Folsom lithic procurement, tool use, and replacement at the Lake Theo site, Texas",2002,"Plains Anthropologist","47","181",,"121","146",,13,"10.1080/2052546.2002.11949236",2-s2.0-30544433026
"Buchanan B.","","Cultural transmission and stone tools: A study of Early Paleoindian technology in North America",2005,"Cultural Transmission and Stone Tools: A Study of Early Paleoindian Technology in North America",,,,"","",,13,,2-s2.0-30544446753
"Buchanan B.","11241802300;","An analysis of Folsom projectile point resharpening using quantitative comparisons of form and allometry",2006,"Journal of Archaeological Science","33","2",,"185","199",,69,"10.1016/j.jas.2005.07.008",2-s2.0-30544454646
"Buchanan B., Collard M.","11241802300;7102608373;","Investigating the peopling of North America through cladistic analyses of Early Paleoindian projectile points",2007,"Journal of Anthropological Archaeology","26","3",,"366","393",,104,"10.1016/j.jaa.2007.02.005",2-s2.0-34548042992
"Buchanan B., Johnson E., Strauss R.E., Lewis P.J.","11241802300;7404680660;7202966775;7402869675;","A morphometric approach to assessing late Paleoindian projectile point variability on the southern High Plains",2007,"Plains Anthropologist","52","203",,"279","299",,19,"10.1179/pan.2007.019",2-s2.0-35748979699
