Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Aghakhanian F., Yunus Y., Naidu R., Jinam T., Manica A., Hoh B.P., Phipps M.E.","56507261500;56507212500;7102091780;35200628100;6603416293;57210809183;7004889156;","Unravelling the genetic history of Negritos and Indigenous populations of Southeast Asia",2015,"Genome Biology and Evolution","7","5",,"1206","1215",,31,"10.1093/gbe/evv065",2-s2.0-84942321280
"Bae C.J., Wang W., Zhao J., Huang S., Tian F., Shen G.","36602128100;56920780300;7410309839;56289127900;57207050931;7401966814;","Modern human teeth from Late Pleistocene Luna cave (Guangxi, China)",2014,"Quaternary International","354",,,"169","183",,70,"10.1016/j.quaint.2014.06.051",2-s2.0-84920152581
"Balme J.","8861983900;","Of boats and string: The maritime colonisation of Australia",2013,"Quaternary International","285",,,"68","75",,38,"10.1016/j.quaint.2011.02.029",2-s2.0-84872144172
"Barker G., Richards M.B.","7202030377;7402054812;","Foraging-Farming Transitions in Island Southeast Asia",2013,"Journal of Archaeological Method and Theory","20","2",,"256","280",,31,"10.1007/s10816-012-9150-7",2-s2.0-84876903033
"Barker G., Barton H., Bird M., Daly P., Datan I., Dykes A., Farr L., Gilbertson D., Harrisson B., Hunt C., Higham T., Kealhofer L., Krigbaum J., Lewis H., McLaren S., Paz V., Pike A., Piper P., Pyatt B., Rabett R., Reynolds T., Rose J., Rushworth G., Stephens M., Stringer C., Thompson J., Turney C.","7202030377;56275123500;7102578362;7101813771;15847899500;7003338785;35368381800;7004660494;15848196700;7201450822;7003799879;6602327303;6507599027;35574048800;7006430993;15848946300;55566368400;15849018500;8652910100;15849163500;8539962900;16064302000;15849352300;7201574994;7005875885;57198874275;7003984281;","The 'human revolution' in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo)",2007,"Journal of Human Evolution","52","3",,"243","261",,279,"10.1016/j.jhevol.2006.08.011",2-s2.0-33847034067
"Bellwood P.","",[No title available],1997,"Prehistory of the Indo-Malaysian Archipelago",,,,"","",,637,,2-s2.0-0003739098
"Bellwood P.","6602236565;","Holocene population history in the pacific region as a model for worldwide food producer dispersals",2011,"Current Anthropology","52","SUPPL. 4",,"S363","S378",,54,"10.1086/658181",2-s2.0-80054879202
"Bernal V., Ivan Perez S., Gonzalez P.N., Diniz-Filho J.A.F.","55930645900;21740866600;55799217100;7004620621;","Ecological and evolutionary factors in dental morphological diversification among modern human populations from southern South America",2010,"Proceedings of the Royal Society B: Biological Sciences","277","1684",,"1107","1112",,13,"10.1098/rspb.2009.1823",2-s2.0-77950823835
"Betti L., Balloux F., Hanihara T., Manica A.","26429046600;6701693410;7003959650;6603416293;","The relative role of drift and selection in shaping the human skull",2010,"American Journal of Physical Anthropology","141","1",,"76","82",,67,"10.1002/ajpa.21115",2-s2.0-74749090938
"Biggerstaff R.H.","7004175710;","The basal area of posterior tooth crown components: The assessment of within tooth variations of premolars and molars",1969,"American Journal of Physical Anthropology","31","2",,"163","170",,60,"10.1002/ajpa.1330310204",2-s2.0-0014573580
"Bird M.I., Taylor D., Hunt C.","7102578362;57196007667;7201450822;","Palaeoenvironments of insular Southeast Asia during the Last Glacial Period: A savanna corridor in Sundaland?",2005,"Quaternary Science Reviews","24","20-21",,"2228","2242",,331,"10.1016/j.quascirev.2005.04.004",2-s2.0-24944441725
"Blust R.","","Subgrouping, circularity and extinction: Some issues in Austronesian comparative linguistics",1999,"Selected Papers from the Eighth International Conference on Austronesian Linguistics","1",,,"31","94",,159,,2-s2.0-0001917015
"Boivin N., Fuller D.Q., Dennell R., Allaby R., Petraglia M.D.","16038509400;56844729800;6603345183;6602620692;7003671891;","Human dispersal across diverse environments of Asia during the Upper Pleistocene",2013,"Quaternary International","300",,,"32","47",,121,"10.1016/j.quaint.2013.01.008",2-s2.0-84878955342
"Brandão A., Eng K.K., Rito T., Cavadas B., Bulbeck D., Gandini F., Pala M., Mormina M., Hudson B., White J., Ko T.-M., Saidin M., Zafarina Z., Oppenheimer S., Richards M.B., Pereira L., Soares P.","56900753500;55881739600;26644264700;25631686900;8891931300;54890582200;7005045607;15061957800;24171411100;7405250223;7201681355;36675985000;25724004600;7101653217;7402054812;57189891644;15061713600;","Quantifying the legacy of the Chinese Neolithic on the maternal genetic heritage of Taiwan and Island Southeast Asia",2016,"Human Genetics","135","4",,"363","376",,11,"10.1007/s00439-016-1640-3",2-s2.0-84957947895
"Brewster C., Meiklejohn C., Von Cramon-Taubadel N., Pinhasi R.","56203927700;6602672817;23471109300;10041187600;","Craniometric analysis of European Upper Palaeolithic and Mesolithic samples supports discontinuity at the Last Glacial Maximum",2014,"Nature Communications","5",, 4094,"","",,16,"10.1038/ncomms5094",2-s2.0-84902313300
"Brown P., Sutikna T., Morwood M.J., Soejono R.P., Jatmiko, Saptomo E.W., Due R.A.","57196954826;8394220200;6603099496;6507060423;23024532200;8981183000;6603592395;","A new small-bodied hominin from the Late Pleistocene of Flores, Indonesia",2004,"Nature","431","7012",,"1055","1061",,531,"10.1038/nature02999",2-s2.0-7744243968
"Bulbeck D.","","A re-evaluation of possible evolutionary processes in Southeast Asia since the late Pleistocene",1982,"Bulletin of the Indo-Pacific Prehistory Association","3",,,"1","21",,23,,2-s2.0-0000093484
"Zhang C., Hung H.-C.","55627873216;23392653900;","The neolithic of Southern China-origin, development, and dispersal",2008,"Asian Perspectives","47","2",,"299","329",,47,,2-s2.0-67651229441
