Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Pitulko V.V., Kasparov A.K.","6507858054;7005085553;","Archaeological dogs from the Early Holocene Zhokhov site in the Eastern Siberian Arctic",2017,"Journal of Archaeological Science: Reports","13",,,"491","515",,19,"10.1016/j.jasrep.2017.04.003",2-s2.0-85018300983
"Lee E.J., Merriwether D.A., Kasparov A.K., Nikolskiy P.A., Sotnikova M.V., Yu Pavlova E., Pitulko V.V.","34971377400;6602101253;7005085553;6507572068;6602669017;57213946093;6507858054;","Ancient DNA analysis of the oldest Canid species from the Siberian Arctic and genetic contribution to the domestic dog",2015,"PLoS ONE","10","5", e0125759,"","",,10,"10.1371/journal.pone.0125759",2-s2.0-84957310703
"Goebel T., Slobodin S.B., Waters M.R.","7004650092;7801642475;57209811922;","New dates from Ushki-1, Kamchatka, confirm 13,000calBP age for earliest Paleolithic occupation",2010,"Journal of Archaeological Science","37","10",,"2640","2649",,33,"10.1016/j.jas.2010.05.024",2-s2.0-77955266209
"Leathlobhair M.N., Perri A.R., Irving-Pease E.K., Witt K.E., Linderholm A., Haile J., Lebrasseur O., Ameen C., Blick J., Boyko A.R., Brace S., Cortes Y.N., Crockford S.J., Devault A., Dimopoulos E.A., Eldridge M., Enk J., Gopalakrishnan S., Gori K., Grimes V., Guiry E., Hansen A.J., Hulme-Beaman A., Johnson J., Kitchen A., Kasparov A.K., Kwon Y.-M., Nikolskiy P.A., Lope C.P., Manin A., Martin T., Meyer M., Myers K.N., Omura M., Rouillard J.-M., Pavlova E.Y., Sciulli P., Sinding M.-H.S., Strakova A., Ivanova V.V., Widga C., Willerslev E., Pitulko V.V., Barnes I., Gilbert M.T.P., Dobney K.M., Malhi R.S., Murchison E.P., Larson G., Frantz L.A.F.","57189518908;56646131200;57200616726;56454933700;24399317900;56875784900;52563899200;57190193977;21833273400;22133571100;55068108200;57202921322;6602760445;27367812500;57189694623;57202925617;26024983200;12239105800;55777490100;23027470800;41861383400;7401928605;36627224600;55494673500;23489084200;7005085553;57201465458;6507572068;8751729000;57189524535;55541591800;57189524799;56347878700;57202924778;6603817023;7006072696;6701423231;55336658000;56346027600;55354153600;24765664800;56273625000;6507858054;35503036400;57203214424;6602595568;6603513746;7801402739;8280762100;55470973700;","The evolutionary history of dogs in the Americas",2018,"Science","361","6397",,"81","85",,18,"10.1126/science.aao4776",2-s2.0-85049611678
"Duggan A.T., Harris A.J.T., Marciniak S., Marshall I., Kuch M., Kitchen A., Renaud G., Southon J., Fuller B., Young J., Fiedel S., Golding G.B., Grimes V., Poinar H.","55589373800;57196040406;56480318200;16064515000;6701456307;23489084200;14023287300;7005895771;7102974742;57196042787;55891955900;7004093160;23027470800;7004151707;","Genetic Discontinuity between the Maritime Archaic and Beothuk Populations in Newfoundland, Canada",2017,"Current Biology","27","20",,"3149","3156.e11",,6,"10.1016/j.cub.2017.08.053",2-s2.0-85031307133
"Raghavan M., DeGiorgio M., Albrechtsen A., Moltke I., Skoglund P., Korneliussen T.S., Grønnow B., Appelt M., Gulløv H.C., Friesen T.M., Fitzhugh W., Malmström H., Rasmussen S., Olsen J., Melchior L., Fuller B.T., Fahrni S.M., Stafford T., Jr., Grimes V., Renouf M.A.P., Cybulski J., Lynnerup N., Lahr M.M., Britton K., Knecht R., Arneborg J., Metspalu M., Cornejo O.E., Malaspinas A.-S., Wang Y., Rasmussen M., Raghavan V., Hansen T.V.O., Khusnutdinova E., Pierre T., Dneprovsky K., Andreasen C., Lange H., Hayes M.G., Coltrain J., Spitsyn V.A., Götherström A., Orlando L., Kivisild T., Villems R., Crawford M.H., Nielsen F.C., Dissing J., Heinemeier J., Meldgaard M., Bustamante C., O'Rourke D.H., Jakobsson M., Gilbert M.T.P., Nielsen R., Willerslev E.","35488646800;26028770000;23032972200;24437405900;36465559000;26639439000;24450187900;56366372300;36720965800;7004560990;6602549490;8946822300;8977364800;57207820931;16316631400;7102974742;35787065000;7004919386;23027470800;6602417335;15519001800;7003342155;6603894491;36027962100;7005085911;6506677433;57205450001;6506138861;36772368200;56433179700;56681765600;56366281500;57213467043;35381528600;35810900800;56366289100;8977548000;23975905900;8776548900;8762903700;55406355000;6602916497;7006472586;55804366500;7004629464;57131499100;7201827789;6701363139;7003985450;36834995200;35228607000;7102240247;55122106300;7202762494;56008936500;56273625000;","The genetic prehistory of the New World Arctic",2014,"Science","345","6200", 1255832,"","",,155,"10.1126/science.1255832",2-s2.0-84907279761
"Rasmussen M., Li Y., Lindgreen S., Pedersen J.S., Albrechtsen A., Moltke I., Metspalu M., Metspalu E., Kivisild T., Gupta R., Bertalan M., Nielsen K., Gilbert M.T.P., Wang Y., Raghavan M., Campos P.F., Kamp H.M., Wilson A.S., Gledhill A., Tridico S., Bunce M., Lorenzen E.D., Binladen J., Guo X., Zhao J., Zhang X., Zhang H., Li Z., Chen M., Orlando L., Kristiansen K., Bak M., Tommerup N., Bendixen C., Pierre T.L., Gronnow B., Meldgaard M., Andreasen C., Fedorova S.A., Osipova L.P., Higham T.F.G., Ramsey C.B., Hansen T.V.O., Nielsen F.C., Crawford M.H., Brunak S., Sicheritz-Pont́n T., Villems R., Nielsen R., Krogh A., Wang J., Willerslev E.","56681765600;23766780600;15128650200;57195308608;23032972200;24437405900;57205450001;6603276067;55804366500;7501322334;25640766500;35285846100;7202762494;56433179700;35488646800;16244107300;35810364600;57207872343;35810151600;34267883800;55160482300;6602567974;6507545455;35810537100;57191637561;35249930300;57207482509;57199753788;56134525100;7006472586;7102589497;7103144458;7006770483;7003904148;35810900800;24450187900;36834995200;8977548000;35306925400;57203881313;7003799879;56333730200;57213467043;7201827789;57131499100;7005477388;35489239400;7004629464;56008936500;57205707402;55552724800;56273625000;","Ancient human genome sequence of an extinct Palaeo-Eskimo",2010,"Nature","463","7282",,"757","762",,450,"10.1038/nature08835",2-s2.0-76749141381
"Scheib C.L., Li H., Desai T., Link V., Kendall C., Dewar G., Griffith P.W., Mörseburg A., Johnson J.R., Potter A., Kerr S.L., Endicott P., Lindo J., Haber M., Xue Y., Tyler-Smith C., Sandhu M.S., Lorenz J.G., Randall T.D., Faltyskova Z., Pagani L., Danecek P., O’Connell T.C., Martz P., Boraas A.S., Byrd B.F., Leventhal A., Cambra R., Williamson R., Lesage L., Holguin B., Soto E.Y.-D., Rosas J., Metspalu M., Stock J.T., Manica A., Scally A., Wegmann D., Malhi R.S., Kivisild T.","57191579329;36059388200;57191750349;57189903460;57199179050;14061736300;57202391110;56688653300;55494673500;56146394600;53564096200;6506976481;55256629600;7102207183;7402270896;57204334101;7004012378;7201873662;57202390075;56505573500;49862154800;16642071000;57191074704;14045717800;55820468300;7005243326;55595554100;6603234945;7401944059;7004179905;57202395941;57202395139;57202392267;57205450001;7202121868;6603416293;25637652100;15752040200;6603513746;55804366500;","Ancient human parallel lineages within North America contributed to a coastal expansion",2018,"Science","360","6392",,"1024","1027",,24,"10.1126/science.aar6851",2-s2.0-85048178453
"Sikora M., Pitulko V.V., Sousa V.C., Allentoft M.E., Vinner L., Rasmussen S., Margaryan A., de Barros Damgaard P., de la Fuente C., Renaud G., Yang M.A., Fu Q., Dupanloup I., Giampoudakis K., Nogués-Bravo D., Rahbek C., Kroonen G., Peyrot M., McColl H., Vasilyev S.V., Veselovskaya E., Gerasimova M., Pavlova E.Y., Chasnyk V.G., Nikolskiy P.A., Gromov A.V., Khartanovich V.I., Moiseyev V., Grebenyuk P.S., Fedorchenko A.Y., Lebedintsev A.I., Slobodin S.B., Malyarchuk B.A., Martiniano R., Meldgaard M., Arppe L., Palo J.U., Sundell T., Mannermaa K., Putkonen M., Alexandersen V., Primeau C., Baimukhanov N., Malhi R.S., Sjögren K.-G., Kristiansen K., Wessman A., Sajantila A., Lahr M.M., Durbin R., Nielsen R., Meltzer D.J., Excoffier L., Willerslev E.","23670766800;6507858054;23989723700;57205536379;7801526263;8977364800;56437418300;56798502900;55324887000;14023287300;55371759100;55082636100;6602711154;56135534600;55894649400;6602128406;37005947000;36470843600;57202868790;57006456500;6505947947;57201195245;7006072696;36142717800;6507572068;7102053934;36473395600;6701863618;57191985497;57189367702;6507305098;7801642475;7004086135;56012830100;36834995200;12241162500;7004664626;55596566200;15046688600;57209037605;57213349941;55361841600;57200800942;6603513746;36829763900;8930819100;36136109500;56267974300;57208458475;7102868950;56008936500;7004705181;7004470075;56273625000;","The population history of northeastern Siberia since the Pleistocene",2019,"Nature","570","7760",,"182","188",,11,"10.1038/s41586-019-1279-z",2-s2.0-85066934053
"Flegontov P., Altınışık N.E., Changmai P., Rohland N., Mallick S., Adamski N., Bolnick D.A., Broomandkhoshbacht N., Candilio F., Culleton B.J., Flegontova O., Friesen T.M., Jeong C., Harper T.K., Keating D., Kennett D.J., Kim A.M., Lamnidis T.C., Lawson A.M., Olalde I., Oppenheimer J., Potter B.A., Raff J., Sattler R.A., Skoglund P., Stewardson K., Vajda E.J., Vasilyev S., Veselovskaya E., Hayes M.G., O’Rourke D.H., Krause J., Pinhasi R., Reich D., Schiffels S.","12770450200;57197855702;36170351400;6506138463;24339060900;57204660225;35447569100;57197745947;55468274800;56213358900;35147970000;7004560990;56326014400;57194505292;57201078176;35571732400;57209256324;57204653466;57204650917;55340878500;57197747202;13411507700;15830328300;57209426054;36465559000;35103595700;25030686600;57006456500;6505947947;8776548900;57201981611;57203088508;10041187600;7102313000;54685190500;","Palaeo-Eskimo genetic ancestry and the peopling of Chukotka and North America",2019,"Nature","570","7760",,"236","240",,6,"10.1038/s41586-019-1251-y",2-s2.0-85067075462
