Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Abbott D.R., Watts J.","19638475300;22236241100;","Identical rock types with different chemistry: Sourcing phyllite-tempered Hohokam pottery from the Phoenix basin, Arizona",2010,"Journal of Archaeological Science","37","7",,"1612","1622",,6,"10.1016/j.jas.2010.01.022",2-s2.0-77952550649
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Albrecht G.H.","7102097193;","Assessing the affinities of fossils using canonical variates and generalized distances",1992,"Human Evolution","7","4",,"49","69",,50,"10.1007/BF02436412",2-s2.0-51649138090
"Bell S., Croson C.","57213927599;6507097903;","Artificial neural networks as a tool for archaeological data analysis",1998,"Archaeometry","40","1",,"139","151",,13,"10.1111/j.1475-4754.1998.tb00829.x",2-s2.0-0032342508
"Berge C., Penin X.","7004256594;7801685977;","Ontogenetic allometry, heterochrony, and interspecific differences in the skull of African apes, using tridimensional procrustes analysis",2004,"American Journal of Physical Anthropology","124","2",,"124","138",,55,"10.1002/ajpa.10333",2-s2.0-2642523749
"Bescoby D.J., Cawley G.C., Chroston P.N.","6505851215;7003719588;6602585876;","Enhanced interpretation of magnetic survey data using artificial neural networks: A case study from butrint, southern albania",2004,"Archaeological Prospection","11","4",,"189","199",,7,"10.1002/arp.236",2-s2.0-33644544275
"Bignon O., Baylac M., Vigne J.-D., Eisenmann V.","15135083300;6701570331;7006603465;6701396464;","Geometric morphometrics and the population diversity of Late Glacial horses in Western Europe (Equus caballus arcelini): Phylogeographic and anthropological implications",2005,"Journal of Archaeological Science","32","3",,"375","391",,37,"10.1016/j.jas.2004.02.016",2-s2.0-14744301135
"Brace N., Kemp R., Snelgar R.","",[No title available],2006,"SPSS for Psychologists",,,,"","",,216,,2-s2.0-11844303280
"Buck T.J., Vidarsdottir U.S.","7006323531;6506986593;","A proposed method for the identification of race in sub-adult skeletons: A geometric morphometric analysis of mandibular morphology",2004,"Journal of Forensic Sciences","49","6",,"1159","1164",,23,,2-s2.0-7544237293
"Cardini A., Elton S.","21933368100;6701517719;","Variation in guenon skulls (I): species divergence, ecological and genetic differences",2008,"Journal of Human Evolution","54","5",,"615","637",,47,"10.1016/j.jhevol.2007.09.022",2-s2.0-42649118115
"Cardini A., Elton S.","21933368100;6701517719;","Variation in guenon skulls (II): sexual dimorphism",2008,"Journal of Human Evolution","54","5",,"638","647",,35,"10.1016/j.jhevol.2007.09.023",2-s2.0-42649128704
"Cardini A., Elton S.","21933368100;6701517719;","Does the skull carry a phylogenetic signal? Evolution and modularity in the guenons",2008,"Biological Journal of the Linnean Society","93","4",,"813","834",,110,"10.1111/j.1095-8312.2008.01011.x",2-s2.0-40749104643
"Cardini A., Diniz Filho J.A.F., Polly P.D., Elton S.","21933368100;7004620621;9841533000;6701517719;","Biogeographic analysis using geometric morphometrics: Clines in skull size and shape in a widespread African arboreal monkey",2010,"Lecture Notes in Earth Sciences","124",,,"191","217",,24,"10.1007/978-3-540-95853-6_8",2-s2.0-85051623545
"Carrano J.L., Girty G.H., Carrano C.J.","25924701800;6701408584;7004903456;","Re-examining the Egyptian colonial encounter in Nubia through a compositional, mineralogical, and textural comparison of ceramics",2009,"Journal of Archaeological Science","36","3",,"785","797",,9,"10.1016/j.jas.2008.11.002",2-s2.0-58149295500
"Daniels M.R., Darcy R.","","Notes on the use and interpretation of discriminant analysis",1983,"American Journal of Political Science","27",,,"359","381",,5,,2-s2.0-84926275392
"DeGusta D., Vrba E.","6603774955;6701431666;","A method for inferring paleohabitats from the functional morphology of bovid astragali",2003,"Journal of Archaeological Science","30","8",,"1009","1022",,79,"10.1016/S0305-4403(02)00286-8",2-s2.0-0038607702
"DeGusta D., Vrba E.","6603774955;6701431666;","Methods for inferring paleohabitats from the functional morphology of bovid phalanges",2005,"Journal of Archaeological Science","32","7",,"1099","1113",,48,"10.1016/j.jas.2005.02.010",2-s2.0-20444396556
"DeGusta D., Vrba E.","6603774955;6701431666;","Methods for inferring paleohabitats from discrete traits of the bovid postcranial skeleton",2005,"Journal of Archaeological Science","32","7",,"1115","1123",,26,"10.1016/j.jas.2005.02.011",2-s2.0-20444381679
"Delicado P.","","Statistics in archaeology: New directions",1999,"J.A. Barceló, I. Briz and A. Vila (eds.). New Techniques for Old Times. Computer Applications in Archaeology",,,,"29","37",,4,,2-s2.0-0005085631
"Elewa A.M.T.","","Morphometrics for Nonmorphometricians. Lecture Notes in Earth Sciences",2010,"Morphometrics for Nonmorphometricians",,,,"","",,35,,2-s2.0-79955381930
"Elton S.","6701517719;","Locomotor and habitat classifications of cercopithecoid postcranial material from sterkfontein member 4, Bolt's Farm and Swartkrans Members 1 and 2, South Africa",2001,"Palaeontologia Africana",,"37",,"115","126",,40,,2-s2.0-0035719288
"Escudé E., Montuire S., Desclaux E., Quéré J.-P., Renvoisé E., Jeannet M.","23389039400;6701608471;6603136046;7003533648;23502206400;7102415200;","Reappraisal of 'chronospecies' and the use of Arvicola (Rodentia, Mammalia) for biochronology",2008,"Journal of Archaeological Science","35","7",,"1867","1879",,24,"10.1016/j.jas.2007.11.018",2-s2.0-43149084594
"Jolliffe I.","",[No title available],2005,"Encyclopedia of Statistics in Behavioral Science",,,,"","",,148,,2-s2.0-34047168740
"Felsenstein J.","7003647445;","Phylogenies and the comparative method.",1985,"American Naturalist","125","1",,"1","15",,6108,"10.1086/284325",2-s2.0-0022203256
"Garland Jr. T., Bennett A.F., Rezende E.L.","7006148472;7402332533;6701562410;","Phylogenetic approaches in comparative physiology",2005,"Journal of Experimental Biology","208","16",,"3015","3035",,486,"10.1242/jeb.01745",2-s2.0-24644494898
"Germonpré M., Sablin M.V., Stevens R.E., Hedges R.E.M., Hofreiter M., Stiller M., Després V.R.","6602438625;6507924182;8747066900;7102468106;6701450663;21834940400;16443862200;","Fossil dogs and wolves from Palaeolithic sites in Belgium, the Ukraine and Russia: osteometry, ancient DNA and stable isotopes",2009,"Journal of Archaeological Science","36","2",,"473","490",,201,"10.1016/j.jas.2008.09.033",2-s2.0-57849152382
"Hair J.F., Anderson R.E., Tatham R.L., Black W.C.","",[No title available],1995,"Multivariate Data Analysis",,,,"","",,51947,,2-s2.0-0003506109
"Hammer Ø., Harper D.A.T., Ryan P.D.","25624260900;55745283900;7402922193;","Past: Paleontological statistics software package for education and data analysis",2001,"Palaeontologia Electronica","4","1",,"XIX","XX",,14157,,2-s2.0-34748886657
"Harvey P.H., Pagel M.D.","",[No title available],1991,"The Comparative Method in Evolutionary Biology",,,,"","",,4638,,2-s2.0-0003647239
"Hjulström B., Isaksson S.","11339508300;24824630700;","Identification of activity area signatures in a reconstructed Iron Age house by combining element and lipid analyses of sediments",2009,"Journal of Archaeological Science","36","1",,"174","183",,36,"10.1016/j.jas.2008.08.005",2-s2.0-53549101284
"Huberty C.J., Hussein M.H.","6603710600;7201898373;","Some problems in reporting use of discriminant analyses",2003,"Journal of Experimental Education","71","2",,"177","192",,24,"10.1080/00220970309602062",2-s2.0-0037413099
"Huberty C.J.","6603710600;","Issues in the use and interpretation of discriminant analysis",1984,"Psychological Bulletin","95","1",,"156","171",,298,"10.1037/0033-2909.95.1.156",2-s2.0-0000817756
"Jain A.K., Waller W.G.","36071504600;7005474676;","On the optimal number of features in the classification of multivariate Gaussian data",1978,"Pattern Recognition","10","5-6",,"365","374",,74,"10.1016/0031-3203(78)90008-0",2-s2.0-0018253340
"Kappelman J.","6701645261;","The paleoenvironment ofKenyapithecus at Fort Ternan",1991,"Journal of Human Evolution","20","2",,"95","129",,68,"10.1016/0047-2484(91)90053-X",2-s2.0-0026064849
"Kappelman J., Plummer T., Bishop L., Duncan A., Appleton S.","6701645261;7006149395;7007061548;16160494600;7006170800;","Bovids as indicators of Plio-Pleistocene paleoenvironments in East Africa",1997,"Journal of Human Evolution","32","2-3",,"229","256",,133,"10.1006/jhev.1996.0105",2-s2.0-0031064119
"Klein R.G., Franciscus R.G., Steele T.E.","7404357977;6602421109;7102735252;","Morphometric identification of bovid metapodials to genus and implications for taxon-free habitat reconstruction",2010,"Journal of Archaeological Science","37","2",,"389","401",,25,"10.1016/j.jas.2009.10.001",2-s2.0-70449632138
"Klingenberg C.P., Montero L.R.","7004588456;7103010498;","Distances and directions in multidimensional shape spaces: Implications for morphometric applications",2005,"Systematic Biology","54","4",,"678","688",,229,"10.1080/10635150590947258",2-s2.0-15244360917
"Kovarovic K., Andrews P.","15827625200;12769833400;","Bovid postcranial ecomorphological survey of the Laetoli paleoenvironment",2007,"Journal of Human Evolution","52","6",,"663","680",,66,"10.1016/j.jhevol.2007.01.001",2-s2.0-34248547166
"Larson G., Cucchi T., Fujita M., Matisoo-Smith E., Robins J., Anderson A., Rolett B., Spriggs M., Dolman G., Kim T.-H., Thuy N.T.D., Randi E., Doherty M., Due R.A., Bollt R., Djubiantono T., Griffin B., Intoh M., Keane E., Kirch P., Li K.-T., Morwood M., Pedriña L.M., Piper P.J., Rabett R.J., Shooter P., Van Den Bergh G., West E., Wickler S., Yuan J., Cooper A., Dobney K.","8280762100;6506822509;18041913000;6602155766;8584142300;7403368938;7801352204;7006979012;8503359500;57056659000;55411746900;7004109837;16244419800;6603592395;14029823600;18041582200;18041547400;6507870060;16244992500;6603913279;16245092000;6603099496;16245718700;15849018500;15849163500;16246322000;6602575711;16246584000;36764443800;56988201600;35263632400;6602595568;","Phylogeny and ancient DNA of Sus provides insights into neolithic expansion in Island Southeast Asia and Oceania",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","12",,"4834","4839",,181,"10.1073/pnas.0607753104",2-s2.0-34247626810
"Marcus L.F.","","Traditional morphometrics",1990,"Proceedings of the Michigan Morphometrics Workshop",,,,"77","122",,294,,2-s2.0-0002275679
"McGarigal K., Cushman S., Stafford S.","",[No title available],2000,"Multivariate Statistics for Wildlife and Ecology Research",,,,"","",,1061,,2-s2.0-0003588646
"Mendoza M., Palmqvist P.","","Characterizing adaptive morphological patterns related to habitat use and body mass in Bovidae (Mammalia, Artiodactyla)",2006,"Acta Zool. Sin.","52",,,"971","987",,9,,2-s2.0-38549138106
"Naylor G.J.P., Marcus L.F.","","Identifying isolated shark teeth of the genus Carcharhinus to species: Relevance for tracking phyletic change through the fossil record",1994,"American Museum Novitates","3109",,,"1","53",,33,,2-s2.0-0345103512
"Neff N.A., Marcus L.F.","",[No title available],1980,"A Survey of Multivariate Methods for Systematics",,,,"","",,137,,2-s2.0-0003996926
"Palmqvist P., Pérez-Claros J.A., Janis C.M., Figueirido B., Torregrosa V., Gröcke D.R.","56051321800;55666831600;7003394489;25930860100;9250643400;57206152329;","Biogeochemical and ecomorphological inferences on prey selection and resource partitioning among mammalian carnivores in an early pleistocene community",2008,"Palaios","23","11-12",,"724","737",,38,"10.2110/palo.2007.P07-073r",2-s2.0-58149526975
"Plummer T.W., Bishop L.C.","7006149395;7007061548;","Hominid paleoecology at Olduvai Gorge, Tanzania as indicated by antelope remains",1994,"Journal of Human Evolution","27","1-3",,"47","75",,152,"10.1006/jhev.1994.1035",2-s2.0-0028578824
"Plummer T.W., Bishop L.C., Hertel F.","7006149395;7007061548;6701520367;","Habitat preference of extant African bovids based on astragalus morphology: operationalizing ecomorphology for palaeoenvironmental reconstruction",2008,"Journal of Archaeological Science","35","11",,"3016","3027",,53,"10.1016/j.jas.2008.06.015",2-s2.0-49649098956
