Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Andrews P.","",[No title available],1990,"Owls, Caves and Fossils",,,,"","",,916,,2-s2.0-0003481581
"Baylac M.","",[No title available],2012,,,,,"","",,1,,2-s2.0-84875060205
"Baylac M., Friess M.","","Fourier descriptors, Procrustes superimposition, and data dimensionality: An example of cranial shape analysis in modern human populations",2005,"Modern Morphometrics in Physical Anthropology",,,,"145","165",,90,,2-s2.0-14744301944
"Berthon R., Decaix A., Kovács Z.E., Van Neer W., Tengberg M., Willcox G., Cucchi T.","","A bioarchaeological investigation of three chalcolithic pits at Ovçular Tepesi (Nakhchivan, Azerbaijan)",0000,"Environmental Archaeology",,,,"","",,1,,2-s2.0-84875063600
"Bonhomme F., Orth A., Cucchi T., Rajabi-Maham H., Catalan J., Boursot P., Auffray J.-C., Britton-Davidian J.","7005744319;7005627394;6506822509;36560099700;7102145733;7004307542;7007054202;7003601082;","Genetic differentiation of the house mouse around the Mediterranean basin: Matrilineal footprints of early and late colonization",2011,"Proceedings of the Royal Society B: Biological Sciences","278","1708",,"1034","1043",,69,"10.1098/rspb.2010.1228",2-s2.0-79958249603
"Bonhomme F.","7005744319;","House mouse phylogeography",2012,"Evolution of the House Mouse",,,,"278","296",,32,"10.1017/CBO9781139044547.013",2-s2.0-84925614150
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8",2-s2.0-0031107378
"Chaline J., Baudvin H., Jammot D., Saint Girons M.-C.","",[No title available],1974,"Les Proies des Rapaces",,,,"","",,107,,2-s2.0-0003788036
"Cucchi T.","",[No title available],2005,,,,,"","",,1,,2-s2.0-84875060020
"Cucchi T.","6506822509;","Uluburun shipwreck stowaway house mouse: molar shape analysis and indirect clues about the vessel's last journey",2008,"Journal of Archaeological Science","35","11",,"2953","2959",,27,"10.1016/j.jas.2008.06.016",2-s2.0-49849106069
"Cucchi T.","6506822509;","On the origin of the house mouse synanthropy and dispersal in the near east and europe: Zooarchaeological review and perspectives",2012,"Evolution of the House Mouse",,,,"65","93",,35,"10.1017/CBO9781139044547.005",2-s2.0-84871754775
"Cucchi T., Bǎlǎşescu A., Bem C., Radu V., Vigne J.-D., Tresset A.","6506822509;26033049400;54796493000;16064424400;7006603465;6506727552;","New insights into the invasive process of the eastern house mouse (Mus musculus musculus): Evidence from the burnt houses of Chalcolithic Romania",2011,"Holocene","21","8",,"1195","1202",,19,"10.1177/0959683611405233",2-s2.0-82855163897
"Cucchi T., Orth A., Auffray J.-C., Renaud S., Fabre L., Catalan J., Hadjisterkotis E., Bonhomme F., Vigne J.-D.","6506822509;7005627394;7007054202;7103131750;7007048195;7102145733;6602449366;7005744319;7006603465;","A new endemic species of the subgenus Mus (Rodentia, Mammalia) on the Island of Cyprus",2006,"Zootaxa",,"1241",,"1","36",,53,,2-s2.0-33745841584
"Cucchi T., Vigne J.-D., Auffray J.-C.","6506822509;7006603465;7007054202;","First occurrence of the house mouse (Mus musculus domesticus Schwarz & Schwarz, 1943) in the Western Mediterranean: A zooarchaeological revision of subfossil occurrences",2005,"Biological Journal of the Linnean Society","84","3",,"429","445",,155,"10.1111/j.1095-8312.2005.00445.x",2-s2.0-15944428237
"Dodson P., Wexlar D.","","Taphonomic investigations of owl pellets",1979,"Paleobiology","5","3",,"275","284",,202,,2-s2.0-0000418771
"Duvaux L., Belkhir K., Boulesteix M., Boursot P.","54381562300;6602880062;8538721700;7004307542;","Isolation and gene flow: Inferring the speciation history of European house mice",2011,"Molecular Ecology","20","24",,"5248","5264",,65,"10.1111/j.1365-294X.2011.05343.x",2-s2.0-82955239986
"Evin A., Cucchi T., Cardini A., Strand Vidarsdottir U., Larson G., Dobney K.","23977570900;6506822509;21933368100;55349385000;8280762100;6602595568;","The long and winding road: Identifying pig domestication through molar size and shape",2013,"Journal of Archaeological Science","40","1",,"735","743",,87,"10.1016/j.jas.2012.08.005",2-s2.0-84867907430
"Evstafiev I.","","Fauna of mammals and naturally-hearths infections in Crimea",2006,"Proceedings of the Theriological School","8",,,"111","119",,4,,2-s2.0-82855166226
"Gündüz I., Auffray J.-C., Britton-Davidian J., Catalan J., Ganem G., Ramalhinho M.G., Mathias M.L., Searle J.B.","8519644700;7007054202;7003601082;7102145733;7004877653;6603312480;7005378992;7102976955;","Molecular studies on the colonization of the Madeiran archipelago by house mice",2001,"Molecular Ecology","10","8",,"2023","2029",,47,"10.1046/j.0962-1083.2001.01346.x",2-s2.0-0034844991
"Gyllensten U., Wilson A.C.","7004953409;7404869644;","Interspecific mitochondrial DNA transfer and the colonization of Scandinavia by mice",1987,"Genetical Research","49","1",,"25","29",,98,"10.1017/S0016672300026690",2-s2.0-0023122930
"Huson D.H., Bryant D.","6604069881;7202225613;","Application of phylogenetic networks in evolutionary studies",2006,"Molecular Biology and Evolution","23","2",,"254","267",,4481,"10.1093/molbev/msj030",2-s2.0-30744470609
"Jones E.P., Skirnisson K., McGovern T.H., Gilbert M.T.P., Willerslev E., Searle J.B.","14521302000;6602906967;7005863479;7202762494;56273625000;7102976955;","Fellow travellers: A concordance of colonization patterns between mice and men in the North Atlantic region",2012,"BMC Evolutionary Biology","12","1", 35,"","",,35,"10.1186/1471-2148-12-35",2-s2.0-84858324626
"Jones E.P., Jóhannesdóttir F., Gündüz I., Richards M.B., Searle J.B.","14521302000;25936327800;8519644700;7402054812;7102976955;","The expansion of the house mouse into north-western Europe",2011,"Journal of Zoology","283","4",,"257","268",,27,"10.1111/j.1469-7998.2010.00767.x",2-s2.0-79952591340
"Jones E.P., Van Der Kooij J., Solheim R., Searle J.B.","14521302000;57201722290;6602763830;7102976955;","Norwegian house mice (Mus musculus musculus/domesticus): Distributions, routes of colonization and patterns of hybridization",2010,"Molecular Ecology","19","23",,"5252","5264",,44,"10.1111/j.1365-294X.2010.04874.x",2-s2.0-78649557288
