Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Albrecht G.H.","7102097193;","Assessing the affinities of fossils using canonical variates and generalized distances",1992,"Human Evolution","7","4",,"49","69",,50,"10.1007/BF02436412",2-s2.0-51649138090
"Alcántara García V., Barba Egido R., Barral Del Pino J.M., Crespo Ruiz A.B., Eiriz Vidal A.I., Falquina Aparicio A., Herrero Calleja S., Ibarra Jiménez A., Megías González M., Pérez Gil M., Pérez Tello V., Rolland Calvo J., Sáinz De Los Terreros J.Y., Vidal A., Domínguez-Rodrigo M.","26631702100;38161319100;38161356900;38161038400;38161448200;38161534900;38162029900;38162271700;38162332000;38161959900;26632222800;38162588200;56962776200;38162721700;6603679662;","Determination of the fracture processes of fresh bone: An analytical system of the angles of fracture planes as an indicator of biotic agents [Determinación de procesos de fractura sobre huesos frescos: Un sistema de análisis de los ángulos de los planos de fracturación como discriminador de agentes bióticos]",2006,"Trabajos de Prehistoria","63","1",,"37","45",,28,"10.3989/tp.2006.v63.i1.3",2-s2.0-65849377315
"Andrés M., Gidna A.O., Yravedra J., Domínguez-Rodrigo M.","57207157518;55123224100;56962776200;6603679662;","A study of dimensional differences of tooth marks (pits and scores) on bones modified by small and large carnivores",2012,"Archaeological and Anthropological Sciences","4","3",,"209","219",,75,"10.1007/s12520-012-0093-4",2-s2.0-84872451132
"Aramendi J., Maté-González M.A., Yravedra J., Ortega M.C., Arriaza M.C., González-Aguilera D., Baquedano E., Domínguez-Rodrigo M.","55827562600;56780291300;56962776200;26039376000;56786056800;24477009700;36237883200;6603679662;","Discerning carnivore agency through the three-dimensional study of tooth pits: Revisiting crocodile feeding behaviour at FLK- Zinj and FLK NN3 (Olduvai Gorge, Tanzania)",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology","488",,,"93","102",,30,"10.1016/j.palaeo.2017.05.021",2-s2.0-85019375211
"Aramendi J., Uribelarrea D., Arriaza M.C., Arráiz H., Barboni D., Yravedra J., Ortega M.C., Gidna A., Mabulla A., Baquedano E., Domínguez-Rodrigo M.","55827562600;6507093504;56786056800;57188867521;55881667400;56962776200;26039376000;55123224100;18133831000;36237883200;6603679662;","The paleoecology and taphonomy of AMK (Bed I, Olduvai Gorge) and its contributions to the understanding of the “Zinj” paleolandscape",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology","488",,,"35","49",,14,"10.1016/j.palaeo.2017.02.036",2-s2.0-85014308665
"Arriaza M.C., Domínguez-Rodrigo M.","56786056800;6603679662;","When felids and hominins ruled at Olduvai Gorge: A machine learning analysis of the skeletal profiles of the non-anthropogenic Bed I sites",2016,"Quaternary Science Reviews","139",,,"43","52",,17,"10.1016/j.quascirev.2016.03.005",2-s2.0-84960970713
"Arriaza M.C., Domínguez-Rodrigo M., Yravedra J., Baquedano E.","56786056800;6603679662;56962776200;36237883200;","Lions as Bone Accumulators? Paleontological and Ecological Implications of a Modern Bone Assemblage from Olduvai Gorge",2016,"PloS one","11","5",,"e0153797","",,20,"10.1371/journal.pone.0153797",2-s2.0-85019661387
"Arriaza M.C., Yravedra J., Domínguez-Rodrigo M., Mate-González M.Á., García Vargas E., Palomeque-González J.F., Aramendi J., González-Aguilera D., Baquedano E.","56786056800;56962776200;6603679662;56780291300;57192955709;56780262200;55827562600;24477009700;36237883200;","On applications of micro-photogrammetry and geometric morphometrics to studies of tooth mark morphology: The modern Olduvai Carnivore Site (Tanzania)",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology","488",,,"103","112",,32,"10.1016/j.palaeo.2017.01.036",2-s2.0-85013104677
"Arriaza M.C., Aramendi J., Maté-González M.Á., Yravedra J., Baquedano E., González-Aguilera D., Domínguez-Rodrigo M.","56786056800;55827562600;56780291300;56962776200;36237883200;24477009700;6603679662;","Geometric-morphometric analysis of tooth pits and the identification of felid and hyenid agency in bone modification",2019,"Quaternary International","517",,,"79","87",,7,"10.1016/j.quaint.2018.11.023",2-s2.0-85057827524
"Bartram Jr. L.E., Marean C.W.","6602174811;6701351179;","Explaining the 'Klasies Pattern': Kua ethnoarchaeology, the Die Kelders Middle Stone Age archaeofauna, long bone fragmentation and carnivore ravaging",1999,"Journal of Archaeological Science","26","1",,"9","29",,116,"10.1006/jasc.1998.0291",2-s2.0-0033016442
"Binford L.R.","",[No title available],1981,"Bones: Ancient Men and Modern Myths",,,,"","",,1762,,2-s2.0-0003747768
"Blumenschine R.J.","6602434690;","An experimental model of the timing of hominid and carnivore influence on archaeological bone assemblages",1988,"Journal of Archaeological Science","15","5",,"483","502",,329,"10.1016/0305-4403(88)90078-7",2-s2.0-0024159102
"Blumenschine R.J.","6602434690;","Percussion marks, tooth marks, and experimental determinations of the timing of hominid and carnivore access to long bones at FLK Zinjanthropus, Olduvai Gorge, Tanzania",1995,"Journal of Human Evolution","29","1",,"21","51",,360,"10.1006/jhev.1995.1046",2-s2.0-0029511653
"Blumenschine R.J., Madrigal T.C.","6602434690;6508017334;","Variability in long bone marrow yields of east african ungulates and its zooarchaeological implications",1993,"Journal of Archaeological Science","20","5",,"555","587",,84,"10.1006/jasc.1993.1034",2-s2.0-38249003142
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Brain C.K.","","Hottentot food remains and their bearing on the interpretation of fossil bone assemblages",1967,"Scientific Papers of the Namib Desert Research Station","32",,,"1","11",,114,,2-s2.0-0002761714
"Brain C.K.","","The contribution of Namib Desert Hottentots to an understanding of australopithecine bone accumulations",1969,"Scientific Papers of the Namib Desert Research Station","39",,,"13","22",,154,,2-s2.0-0002761715
