Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Archer W., Braun D.R.","35085743300;23972180300;","Variability in bifacial technology at Elandsfontein, Western cape, South Africa: a geometric morphometric approach",2010,"Journal of Archaeological Science","37","1",,"201","209",,74,"10.1016/j.jas.2009.09.033",2-s2.0-70350780084
"Baena Preysler J., Carrión Santafé E., Requejo Löpez V.","","Recent discoveries of discoid industries in western Cantabria (North Spain)",2003,"Discoid Lithic Technology. Advances and Implications",,,,"117","126",,3,,2-s2.0-84909600451
"Bar-Yosef O., Kuhn S.L.","57204304503;7103392233;","The big deal about blades: Laminar technologies and human evolution",1999,"American Anthropologist","101","2",,"322","338",,238,"10.1525/aa.1999.101.2.322",2-s2.0-0033407794
"Bar-Yosef O., Van Peer P.","57204304503;6506238468;","The chaîne opératoire approach in Middle Paleolithic Archaeology",2009,"Current Anthropology","50","1",,"103","131",,112,"10.1086/592234",2-s2.0-61849133790
"Beyries S., Boëda E.","","Etude technologique et traces d'utilisation des 'eclats debordants' de Corbehem (Pas-de-Calais)",1983,"Bulletin de la Société Préhistorique Française","80","9",,"275","279",,35,,2-s2.0-0038236120
"Bischoff J.L., Julia R., Mora R.","7101715751;56275001400;7006807773;","Uranium-series dating of the Mousterian occupation at Abric Romani, Spain",1988,"Nature","332","6159",,"68","70",,116,"10.1038/332068a0",2-s2.0-0023717208
"Boëda E.","","Le débitage discoïde et le débitage Levallois récurrent centripète",1993,"Bulletin de la Société Préhistorique Française","90","6",,"392","404",,238,,2-s2.0-0000220717
"Boëda E.","",[No title available],1994,"Le Concept Levallois: Variabilité des Méthodes",,,,"","",,211,,2-s2.0-0012865323
"Boëda E., Geneste J.-M., Meignen L.","","Identification de chaînes opératoires lithiques du Paléolithique ancien et moyen",1990,"Paléo","2",,,"43","80",,268,,2-s2.0-0002581902
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8",2-s2.0-0031107378
"Borel A., Gaillard C., Moncel M.-H., Sala R., Pouydebat E., Simanjuntak T., Sémah F.","24821755400;14630276400;6602599048;7005992902;8626402200;24391487000;7003586205;","How to interpret informal flakes assemblages? Integrating morphological description, usewear and morphometric analysis gave better understanding of the behaviors of anatomically modern human from song terus (Indonesia)",2013,"Journal of Anthropological Archaeology","32","4",,"630","646",,24,"10.1016/j.jaa.2013.03.002",2-s2.0-84888292444
"Bourguignon L.","","Le Moustérien de type Quina: Nouvelle définition d'une entité technique",1997,"Le Moustérien de Type Quina: Nouvelle Définition d'Une Entité Technique",,,,"","",,103,,2-s2.0-4243518211
"Bretzke K., Conard N.J.","55123427600;6603626316;","Evaluating morphological variability in lithic assemblages using 3D models of stone artifacts",2012,"Journal of Archaeological Science","39","12",,"3741","3749",,39,"10.1016/j.jas.2012.06.039",2-s2.0-84865044023
