Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Abramov I., Farkas A., Ochsenschlager E.","7102573546;57209620121;6504175951;","A study in classification: Style and visual perception",2006,"Visual Anthropology","19","3-4",,"255","274",,2,"10.1080/08949460600656584",2-s2.0-84895756926
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Araujo A.G.M., Feathers J.K., Arroyo-Kalin M., Tizuka M.M.","36730594400;6603752585;24722840900;24723211300;","Lapa das boleiras rockshelter: stratigraphy and formation processes at a paleoamerican site in Central Brazil",2008,"Journal of Archaeological Science","35","12",,"3186","3202",,38,"10.1016/j.jas.2008.07.007",2-s2.0-51449113426
"Araujo A.G.M., Neves W.A., Kipnis R.","36730594400;7004541389;6603516072;","Lagoa santa revisited: An overview of the chronology, subsistence, and material culture of Paleoindian sites in Eastern Central Brazil",2012,"Latin American Antiquity","23","4",,"533","550",,27,"10.7183/1045-6635.23.4.533",2-s2.0-84892584703
"Archer W., Braun D.R.","35085743300;23972180300;","Variability in bifacial technology at Elandsfontein, Western cape, South Africa: a geometric morphometric approach",2010,"Journal of Archaeological Science","37","1",,"201","209",,74,"10.1016/j.jas.2009.09.033",2-s2.0-70350780084
"Beck C.","","Projectile point types as valid chronological units",1998,"Unit Issues in Archaeology: Measuring Time, Space, and Material",,,,"21","40",,17,,2-s2.0-0005756747
"Behling H.","7005966519;","South and southeast Brazilian grasslands during Late Quaternary times: A synthesis",2002,"Palaeogeography, Palaeoclimatology, Palaeoecology","177","1-2",,"19","27",,320,"10.1016/S0031-0182(01)00349-2",2-s2.0-0037022035
"Bookstein F.L.","7004606384;","Foundations of morphometrics.",1982,"Annual review of ecology and systematics. Volume 13",,,,"451","470",,102,,2-s2.0-0020374021
"Bookstein F.L.","","Introduction and overview: Geometry and biology",1990,"Proc. Michigan Morphometrics Workshop",,,,"61","74",,15,,2-s2.0-0002451346
"Bookstein F.L.","","Introduction to methods for landmark data",1990,"Proceedings of the Michigan Morphometrics Workshop",,,,"215","225",,86,,2-s2.0-0001915879
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bookstein F.L.","7004606384;","A hundred years of morphometrics",1998,"Acta Zoologica Academiae Scientiarum Hungaricae","44","1-2",,"7","59",,71,,2-s2.0-0032325057
"Bookstein F.L., Sampson P.D., Streissguth A.P., Barr H.M.","7004606384;7005197669;7006860322;7102182355;","Exploiting redundant measurement of dose and developmental outcome: New methods from the behavioral teratology of alcohol",1996,"Developmental Psychology","32","3",,"404","415",,45,"10.1037/0012-1649.32.3.404",2-s2.0-21344447806
"Bookstein F.L., Streissguth A.P., Sampson P.D., Connor P.D., Barr H.M.","7004606384;7006860322;7005197669;7005280108;7102182355;","Corpus callosum shape and neuropsychological deficits in adult males with heavy fetal alcohol exposure",2002,"NeuroImage","15","1",,"233","251",,226,"10.1006/nimg.2001.0977",2-s2.0-0036322710
"Brande S., Saragusti I.","","Amorphometric model and landmark analysis of acheulian hand axes from Norhern Israel",1996,"Advances in Morphometrics",,,,"423","435",,14,,2-s2.0-33751048406
"Brown K.S., Marean C.W., Jacobs Z., Schoville B.J., Oestmo S., Fisher E.C., Bernatchez J., Karkanas P., Matthews T.","40360954500;6701351179;23392343600;36542964000;55446541400;8570547400;22933912000;6603894093;36844446900;","An early and enduring advanced technology originating 71,000 years ago in South Africa",2012,"Nature","491","7425",,"590","593",,167,"10.1038/nature11660",2-s2.0-84869874253
